Item #,Model #,Item Name,Description,Product Details,Price (New/Used),Highlights/Features,Average,Pictures,Specifications,Manual / Guides
100087059,PA-40BH,40 in. Tow-Behind Plug Aerator,"Brinly's high-performance 40 in. Tow-Behind Plug Aerator is the perfect tool for achieving and maintaining a healthy, vibrant lawn. The 24 heat-treated 16-Gauge steel tines penetrate the soil up to 3 in. deep, allowing water, seed and nutrients to reach your lawn's root system. Each plugging spoon is individually replaceable, allowing for easy servicing. The fully enclosed all steel weight tray offers flexibility for adding various types of weights; 150 lbs. of additional weight may be added for aerating considerably compacted soil or hard clay. And the easy to engage transport wheels make crossing driveways and sidewalks a breeze. Don't settle for a less than perfect lawn. Let Brinly help you get the lawn of your dreams.","Bullet07 : Made in the USA: Trusted Since 1839, Brinly-Hardy Company has been dedicated to providing quality, durable, and innovative Lawn & Garden Products.,Bullet06 : 16-Guage steel tines with three welded tine sections rotate independently, achieving maximum coverage,Bullet05 : Heat-treated plugging spoons for superior strength and durability,Bullet03 : 10 in. x 3 in. semi-pneumatic transport wheels; single lever engagement,Bullet01 : Working width of 40 in.,Bullet08 : For warranty, service parts, or for help at any time, reach out to the Brinly Customer Service team by calling our toll-free number (877-728-8224) or by emailing customerservice@brinly.com. Replacement parts can also be ordered online at Brinly's website.,Bullet04 : All steel, 150 lb. capacity weight tray,MFG Brand Name : Brinly-Hardy,Bullet02 : Up to 3 in. penetration",189.0 / 189.0,"Product Highlight 2 : Helps lawn absorb water, seed and nutrients for healthy growth,Product Highlight 3 : Steel weight tray holds up to 150 lbs.,Product Highlight 1 : Tines penetrate soil up to 3 in. deep to reach your lawn's roots",4.215,"https://images.homedepot-static.com/productImages/e8fa0b99-4eb3-44d6-8e38-715906fa851c/svn/brinly-hardy-core-aerators-pa-40bh-64_1000.jpg,https://images.homedepot-static.com/productImages/77b6785b-ab1c-4718-b828-3d9279555c3c/svn/brinly-hardy-core-aerators-pa-40bh-66_1000.jpg,https://images.homedepot-static.com/productImages/8ecf2b7e-acbc-4bdb-97d5-8ccf51b2e6df/svn/brinly-hardy-core-aerators-pa-40bh-77_1000.jpg,https://images.homedepot-static.com/productImages/4c24f871-27f9-441d-95c5-ec2e574b4cde/svn/brinly-hardy-core-aerators-pa-40bh-4f_1000.jpg,https://images.homedepot-static.com/productImages/5029b726-ac89-491d-b075-d1dea6eb81d1/svn/brinly-hardy-core-aerators-pa-40bh-1f_1000.jpg,https://images.homedepot-static.com/productImages/b60d107f-d83e-49dc-91d4-9e0820788edb/svn/brinly-hardy-core-aerators-pa-40bh-44_1000.jpg","Riding Mower Features : Pneumatic Tires,Tool-free adjustments,Product Weight (lb.) : 66 lb,Aerator Type : Plug,Refurbished : No,Features : Assembly Required,Single-lever height adjustment,Zero-Turn Capable,Returnable : 90-Day,Material : Steel,Included : Weight Tray,Wheels,Application Type : Lawn Care,Fits Brands : Universal,Fits Models : All models with rear hitch plate,Assembly Required : Yes,Working Width (in.) : 40,Assembled Depth (in.) : 37 in,Maximum Penetration (in.) : 3,Assembled Width (in.) : 51 in,Assembled Height (in.) : 28 in,Manufacturer Warranty : 2 Year","Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/22/22bb58a6-4e4c-43ac-a8da-161715512a4b.pdf,Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/e1/e1767119-6e95-4c67-9fdb-480ba15c2944.pdf,Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/19/1932eb6b-a881-4bd5-9220-6511662dbc73.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/1f/1f1f7c86-8ca6-43f3-a6d3-338fcbf56002.pdf,Full Product Manual : https://images.homedepot-static.com/catalog/pdfImages/22/22bb58a6-4e4c-43ac-a8da-161715512a4b.pdf"
206297059,2917400,Steel Spike Aerator,"The Spike Aerator is your secret weapon against an unhealthy lawn. With its multi-spike design, this tool allows water, air and fertilizer to access grass roots easier and more quickly. The Spike Aerator works great with hard soils.","Bullet02 : Multi-spike aeration easily penetrates hard soils,Bullet04 : Affordable, convenient to store and simple to use to give you a lush, beautiful garden,Bullet01 : Unique stirrup handle is easy on your back,Bullet03 : Sturdy 1-piece design,MFG Brand Name : Ames",21.97 / 21.97,"Product Highlight 1 : 1 piece steel construction,Product Highlight 2 : Handle design is easy on your back,Product Highlight 3 : Simple to use and easy to store",4.2824,"https://images.homedepot-static.com/productImages/1f305f6f-949e-432f-9cb3-ba632423bbad/svn/ames-aerators-2917400-64_1000.jpg,https://images.homedepot-static.com/productImages/0864b3e7-14ba-406d-9d4e-6d573bdd8ec7/svn/ames-aerators-2917400-e1_1000.jpg,https://images.homedepot-static.com/productImages/7c448972-4b53-4231-aa85-70e7dbc1e149/svn/ames-aerators-2917400-c3_1000.jpg,https://images.homedepot-static.com/productImages/309bdcc0-e1f2-473c-98be-562ae6eacfc3/svn/ames-aerators-2917400-4f_1000.jpg,https://images.homedepot-static.com/productImages/a8a277c0-1918-4a30-9797-5b4e1fc867f8/svn/ames-aerators-2917400-1f_1000.jpg","Garden Center Tool Type : Aerator,Product Weight (lb.) : 3.35,Number of tines : 4,Returnable : 90-Day,Handle Material : Steel,Product Depth (in.) : 7.76,Head Width (in.) : 7.76,Handle Length (in.) : 32.5,Tine length (in.) : 3,Product Width (in.) : 1.25,Product Height (in.) : 36.02,Manufacturer Warranty : 15 Years",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/3b/3b18db23-4e60-4212-9f76-ca648eb13159.pdf
203210728,SA-400BH,40 in. Tow-Behind Spike Aerator,"If your lawn experiences moderate foot traffic or if you have heavy clay soil, you may need to aerate. Brinly's 40 in. tow-Behind Spike Aerator loosens soil and permit it's nutrients and water to reach roots. Our durable, heavy duty aerator features 10 galvanized steel stars that perforate the soil up to 2 in. deep. Each 8 in. dia. star rotates independently and continues revolving during tractor turns. The 14-Gauge steel, 110 lb. capacity weight tray allows for weight to be added for maximum penetration in hard soil.","Bullet07 : Made in the USA: Trusted Since 1839, Brinly-Hardy Company has been dedicated to providing quality, durable, and innovative Lawn & Garden Products.,Bullet06 : Universal hitch easily attaches to riding lawn mowers and lawn tractors,Bullet03 : 5/8 in. solid steel tine axle,Bullet05 : 2-year warranty,Bullet02 : Up to 2 in. soil penetration,Bullet01 : Working width of 40 in.,Bullet08 : For warranty, service parts, or for help at any time, reach out to the Brinly Customer Service team by calling our toll-free number (877-728-8224) or by emailing customerservice@brinly.com. Replacement parts can also be ordered online at Brinly's website.,MFG Brand Name : Brinly-Hardy,Bullet04 : 10 galvanized steel tine stars",94.0 / 94.0,"Product Highlight 3 : Includes a universal hitch that attaches to riding lawn mowers,Product Highlight 1 : 40 in. width ensure you have maximum ground coverage,Product Highlight 2 : Designed to penetrate up to 2 in. in soil",3.6686,"https://images.homedepot-static.com/productImages/af205aab-95f5-4363-b50f-aacc49682644/svn/brinly-hardy-core-aerators-sa-400bh-64_1000.jpg,https://images.homedepot-static.com/productImages/32b2c09f-9421-4f21-b4e6-a63b6730ae3f/svn/brinly-hardy-core-aerators-sa-400bh-66_1000.jpg,https://images.homedepot-static.com/productImages/5916134b-8111-46c7-a7d5-c9562d95499f/svn/brinly-hardy-core-aerators-sa-400bh-77_1000.jpg,https://images.homedepot-static.com/productImages/39aeea17-2fc7-44ac-97de-c5155d8aa436/svn/brinly-hardy-core-aerators-sa-400bh-c3_1000.jpg,https://images.homedepot-static.com/productImages/d0633abb-14a9-4281-95e2-64dc4458dfd8/svn/brinly-hardy-core-aerators-sa-400bh-4f_1000.jpg,https://images.homedepot-static.com/productImages/e8815c04-b7c6-4271-87b5-735e5f82dbcb/svn/brinly-hardy-core-aerators-sa-400bh-1f_1000.jpg,https://images.homedepot-static.com/productImages/563c888d-78ed-4d39-8aa8-7f0d1b26f956/svn/brinly-hardy-core-aerators-sa-400bh-44_1000.jpg,https://images.homedepot-static.com/productImages/5bc0fbca-85fa-4a62-9fde-52a9d374fdec/svn/brinly-hardy-core-aerators-sa-400bh-fa_1000.jpg","Refurbished : No,Returnable : 90-Day,Riding Mower Features : Residential,Material : Steel,Features : Assembly Required,Zero-Turn Capable,Application Type : Lawn Care,Fits Brands : Universal,Fits Models : All models with rear hitch plate,Aerator Type : Spike,Assembly Required : Yes,Included : Hitch Pin,Product Weight (lb.) : 25 lb,Working Width (in.) : 40,Maximum Penetration (in.) : 2,Assembled Depth (in.) : 28 in,Assembled Height (in.) : 10.7 in,Assembled Width (in.) : 40 in,Manufacturer Warranty : 2 Year","Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/e1/e1767119-6e95-4c67-9fdb-480ba15c2944.pdf,Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/21/210e56d0-8a8a-4a34-b0d5-6d1424171b9f.pdf,Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/af/afc99488-0414-4121-ba89-6fb5e994dd82.pdf,Full Product Manual : https://images.homedepot-static.com/catalog/pdfImages/af/afc99488-0414-4121-ba89-6fb5e994dd82.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/dd/dd66aa11-56b4-4057-8e6e-d9b8ccc04406.pdf"
202638990,45-0299,48 in. Tow Plug Aerator,"Agri-Fabs 48 in. Tow Plug Aerator can remove 3/4 in. Dia by up to 3 in. length soil plugs from a lawn, in turn allowing compacted soil to loosen up, this in addition to the benefits provided by a plug aerator. Best for easily compacted soil like clay, heavy-traffic areas such as playgrounds and sports fields and drought damaged lawns. Weight tray can hold up to 140 lbs. allowing for increased soil penetration by the 32 aerator knives.","MFG Brand Name : Agri-Fab,Bullet04 : Simple to use cantilever transport handle for easy raising and lowering of the aerator knives,Bullet07 : During early spring and late summer when the ground becomes most compacted and needs to be loosened and refreshed are the best times of year to utilize a plug aerator,Bullet05 : Flat free tires allow for smooth transport over any terrain,Bullet08 : 3-year limited warranty,Bullet03 : 32 galvanized aerator knives for rustproof durability,Bullet02 : Universal hitch easily attaches to any lawn tractor regardless of brand,Bullet06 : 48 in. weight tray can hold up to 140 lbs. for increased soil penetration,Bullet09 : Requires a 9 HP tractor or larger,Bullet01 : Assembled dimension: 60 in. W x 35 in. D x 36 in. H",213.49 / 213.49,"Product Highlight 1 : Universal hitch designed to attach to any lawn tractor,Product Highlight 3 : Backed by a 3-year limited warranty for your satisfaction,Product Highlight 2 : Ideal for compacted soils like clay, playgrounds and sport fields",4.3066,"https://images.homedepot-static.com/productImages/a579199f-5fc8-440c-976a-e7f50ce08c62/svn/agri-fab-core-aerators-45-0299-64_1000.jpg,https://images.homedepot-static.com/productImages/e80bba10-0919-4430-8bca-73cc4a6369de/svn/agri-fab-core-aerators-45-0299-1d_1000.jpg,https://images.homedepot-static.com/productImages/3720e12b-dfa1-41ae-9daf-2a9169a32301/svn/agri-fab-core-aerators-45-0299-66_1000.jpg,https://images.homedepot-static.com/productImages/178a2dce-4eef-4915-8ba2-c267f15b87fc/svn/agri-fab-core-aerators-45-0299-c3_1000.jpg,https://images.homedepot-static.com/productImages/e4ae1390-cadb-4aa0-bd26-90d3d649ebc4/svn/agri-fab-core-aerators-45-0299-4f_1000.jpg,https://images.homedepot-static.com/productImages/3d9d8e68-0684-4653-99f1-f70a1868f2bf/svn/agri-fab-core-aerators-45-0299-1f_1000.jpg,https://images.homedepot-static.com/productImages/513421ed-9eaf-4aa0-b06f-c0c724ff9de8/svn/agri-fab-core-aerators-45-0299-44_1000.jpg,https://images.homedepot-static.com/productImages/30e2f9c9-2469-493c-bd36-f8a30ca72e53/svn/agri-fab-core-aerators-45-0299-76_1000.jpg","Aerator Type : Plug,Refurbished : No,Material : Steel,Product Weight (lb.) : 93 lb,Included : Weight Tray,Wheels,Application Type : Lawn Care,Fits Brands : Universal,Riding Mower Features : No Additional Features,Features : Adjustable Height,Returnable : 30-Day,Assembly Required : Yes,Maximum Penetration (in.) : 3,Working Width (in.) : 48,Assembled Width (in.) : 60 in,Assembled Height (in.) : 36 in,Assembled Depth (in.) : 35 in,Manufacturer Warranty : 3 year limited","Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/5c/5cef4f04-ae7f-4551-9a36-d5197151cf92.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/89/89eaeebb-6059-49a5-a004-a0ef07fce240.pdf,Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/96/96ed44e0-a01c-4809-b011-57959bdd58e1.pdf"
300535140,IM7C,Spike Aerator,"Is your lawn gasping for air, over time lawns become compacted and thatch builds up to create a barrier keeping water and air from reaching the roots. Healthy roots are essential to good lawn growth. Spike aeration is also great to prepare an existing lawn for re-seeding or over-seeding and for fertilizing.","Bullet01 : Four 3 in. spikes,MFG Brand Name : Yard Butler,Bullet02 : Promotes vigorous root growth, strengthening tolerance to drought and heat stress,Bullet05 : Strong spikes that loosen compacted soil and penetrate thatch so air, water and fertilizer,Bullet04 : Steel; 37 in. T, 9 in. W, weighs 4 lbs.,Bullet03 : Reduces soil compaction, water run-off and puddles",29.98 / 29.98,"Product Highlight 1 : Ideal for removing four 3 in. spikes,Product Highlight 2 : Helps to eliminate soil compaction, water run-off, and puddling,Product Highlight 3 : Also helps to deliver air, water, and fertilizers to the roots",4.65,"https://images.homedepot-static.com/productImages/c8ad7375-bacb-43f4-bd3f-a4c53a8a0886/svn/yard-butler-aerators-im7c-64_1000.jpg,https://images.homedepot-static.com/productImages/c3e30a95-5026-4b50-a2d5-1b21ec5aa77d/svn/yard-butler-aerators-im7c-c3_1000.jpg,https://images.homedepot-static.com/productImages/d720fd10-03dc-4983-99eb-77096beafcbb/svn/yard-butler-aerators-im7c-4f_1000.jpg,https://images.homedepot-static.com/productImages/66b74b36-049a-4141-b2cb-7ad73fbb0b02/svn/yard-butler-aerators-im7c-1f_1000.jpg,https://images.homedepot-static.com/productImages/620470e3-04fb-4ce0-a5a3-2c63f2a83cb9/svn/yard-butler-aerators-im7c-44_1000.jpg,https://images.homedepot-static.com/productImages/63a8485b-6ddc-4476-81c8-cf773ce83feb/svn/yard-butler-aerators-im7c-31_1000.jpg","Garden Center Tool Type : Aerator,Number of tines : 4,Returnable : 90-Day,Handle Material : Steel,Product Weight (lb.) : 6 lb,Tine length (in.) : 3,Product Depth (in.) : 2 in,Product Height (in.) : 37 in,Handle Length (in.) : 6,Head Width (in.) : 2,Product Width (in.) : 9 in,Manufacturer Warranty : LIMITED LIFETIME WARRANTY",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/98/9842e7ce-1cf3-4c2e-850d-df60372dc869.pdf
206796053,45-0518,40 in. Plug Aerator,"When you aerate your lawn, you are opening up the soil surface to let grass roots get the air and moisture it needs for healthy growth. The Agri-Fab 40 in. Plug Aerator penetrates deep into the soil to pull 3/4 in. Dia and up to 3 in. long soil plugs. Best for easily compacted soil like clay, heavy-traffic areas such as playgrounds and sports fields and drought damaged lawns. Weight tray can hold up to 140 lbs. allowing for increased soil penetration by the 24 aerator knives.","MFG Brand Name : Agri-Fab,Bullet07 : 40 in. aeration path,Bullet05 : Simple-to-use cantilever transport handle for easy raising and lowering,Bullet02 : Flat free tires for smooth transport,Bullet06 : Universal hitch fits any tractor regardless of brand,Bullet03 : Transport handle for easy raising and lowering of the aerator knives,Bullet01 : 24 galvanized knives to penetrate the soil easily,Bullet04 : Durable heavy-gauge steel deck and welded drawbar",156.29 / 156.29,"Product Highlight 2 : Flat-free tires and transport handle allow smooth maneuvering,Product Highlight 3 : Universal hitch fits any lawn tractor irrespective of its brand,Product Highlight 1 : 24 galvanized knives deeply penetrate the soil",4.4694,"https://images.homedepot-static.com/productImages/a2901b84-1b9f-47d3-b530-b4315bcdeb8c/svn/agri-fab-core-aerators-45-0518-64_1000.jpg,https://images.homedepot-static.com/productImages/4a8bda82-719b-41b1-b93f-6eb6d9a85559/svn/agri-fab-core-aerators-45-0518-c3_1000.jpg,https://images.homedepot-static.com/productImages/bc9a7e35-d43f-4516-a7f1-798bb1d6437c/svn/agri-fab-core-aerators-45-0518-4f_1000.jpg,https://images.homedepot-static.com/productImages/0facc94f-3a9a-4cb2-af72-c80291cacef1/svn/agri-fab-core-aerators-45-0518-1f_1000.jpg,https://images.homedepot-static.com/productImages/a9c41e24-cad9-4646-ba96-877bd947d63f/svn/agri-fab-core-aerators-45-0518-44_1000.jpg,https://images.homedepot-static.com/productImages/baedbd7a-ce8a-4e8a-bad3-cdcb6caa012b/svn/agri-fab-core-aerators-45-0518-fa_1000.jpg,https://images.homedepot-static.com/productImages/dae95b05-6a12-4b21-b955-4d385bf66952/svn/agri-fab-core-aerators-45-0518-76_1000.jpg","Aerator Type : Plug,Refurbished : No,Returnable : 90-Day,Material : Steel,Included : Weight Tray,Wheels,Application Type : Lawn Care,Fits Brands : Universal,Riding Mower Features : No Additional Features,Features : Adjustable Height,Assembly Required : Yes,Product Weight (lb.) : 80 lb,Working Width (in.) : 40,Assembled Height (in.) : 24 in,Assembled Width (in.) : 39 in,Maximum Penetration (in.) : 3,Assembled Depth (in.) : 50 in,Manufacturer Warranty : 3-Year Limited","Warranty : https://images.homedepot-static.com/catalog/pdfImages/f9/f9a1ec20-3bc7-43e2-992f-7eaed4c83124.pdf,Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/60/606f6947-7768-48b7-9fe0-0d44f3e32277.pdf,Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/c3/c34f90cf-0257-4656-aaaf-2e1bd20ebabf.pdf,Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/40/40284aea-8eac-4405-a31e-d5a28048d028.pdf"
206991148,45-0365,Push Spike Aerator,"When you aerate your lawn, you open up the soil surface to let grass roots get the air and moisture it needs for healthy growth. The Agri-Fab push spike aerator is perfect for smaller lawns. Just place a patio block in the tray and push or pull across your lawn. The spikes will penetrate the soil to allow nutrients access to the roots without the mess of plugs.","MFG Brand Name : Agri-Fab,Bullet01 : The durable wide tray holds a patio block for increased penetration,Bullet02 : The 16 in. aerating width is easy to maneuver on small lawns,Bullet04 : Comfortable handle for easy pushing and maneuverability,Bullet03 : Five 7 in. Dia aeration discs provides up to a 2.5 in. aeration depth",56.69 / 56.69,"Product Highlight 3 : Simply insert a patio block and push or pull easily across lawn,Product Highlight 1 : Compact size is ideal for smaller lawns,Product Highlight 2 : Spikes penetrate soil to nourish grass roots for optimal growth",2.4265,"https://images.homedepot-static.com/productImages/1e267f7c-e2e8-46e1-91b3-9436cec36318/svn/agri-fab-core-aerators-45-0365-64_1000.jpg,https://images.homedepot-static.com/productImages/6291c8cd-fb25-4ec3-9ad9-992bcc3a8c2a/svn/agri-fab-core-aerators-45-0365-31_1000.jpg","Features : No Additional Features,Refurbished : No,Returnable : 90-Day,Material : Steel,Application Type : Lawn Care,Riding Mower Features : No Additional Features,Aerator Type : Spike,Included : Weight Tray,Product Weight (lb.) : 27 lb,Fits Brands : Agri-Fab,Assembly Required : Yes,Assembled Width (in.) : 8 in,Assembled Height (in.) : 38 in,Assembled Depth (in.) : 17 in,Working Width (in.) : 16,Maximum Penetration (in.) : 2.5,Manufacturer Warranty : 3-Year Limited","Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/c8/c869ffd5-5504-4d68-81f8-0a4fd87d9b4a.pdf,Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/82/82ddadf9-95c3-4589-94e8-8d85659f370c.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/e2/e21b0511-5107-4a5d-8536-a5a0a51ef2be.pdf"
100082838,SAT-40BH,40 in. Tow-Behind Spike Aerator with Transport Wheels,"Compacted soil not only increases thatch buildup but also reduces the amount of water and nutrients your grass receives. Brinly’s 40 in. Tow-Behind Spike Aerator is the perfect tool for loosening soil and allowing your lawn to breathe. This durable, heavy duty aerator features 11 galvanized steel stars that perforate the soil up to 2 in. deep. And because each 8 in. Dia star rotates independently and continues revolving during tractor turns, you’ll make less passes. The 14-Gauge steel, 150 lb. capacity weight tray allows for additional weight to be added for maximum penetration in hard soil.","Bullet04 : 14-Gauge steel, 150 lb. capacity weight tray,Bullet05 : 2-year warranty,Bullet06 : Heavy duty nylon spacers with mold-in tine locators for extra durability,Bullet01 : Working width of 40 in.,Bullet07 : Universal hitch easily attaches to riding lawn mowers and lawn tractors,Bullet08 : Made in the USA: Trusted Since 1839, Brinly-Hardy Company has been dedicated to providing quality, durable, and innovative Lawn & Garden Products.,MFG Brand Name : Brinly-Hardy,Bullet02 : Up to 2 in. penetration,Bullet09 : For warranty, service parts, or for help at any time, reach out to the Brinly Customer Service team by calling our toll-free number (877-728-8224) or by emailing customerservice@brinly.com. Replacement parts can also be ordered online at Brinly's website.,Bullet03 : 5/8 in. solid steel tine shafts",139.0 / 139.0,"Product Highlight 2 : 14-Gauge all steel with 100 lb. capacity for maximum penetration,Product Highlight 3 : 66 penetrations per foot of travel & wheels for crossing pavement,Product Highlight 1 : 11 galvanized steel sharp tines for rust-free durability",4.0722,"https://images.homedepot-static.com/productImages/ee94cf81-2e86-475c-8542-8e35a5a3e0c5/svn/brinly-hardy-core-aerators-sat-40bh-64_1000.jpg,https://images.homedepot-static.com/productImages/96951e20-67f4-4af8-a3b1-2ca23a8bb5e6/svn/brinly-hardy-core-aerators-sat-40bh-66_1000.jpg,https://images.homedepot-static.com/productImages/d6c101ad-cca4-4bd7-b6e6-5bdcdf2a1381/svn/brinly-hardy-core-aerators-sat-40bh-77_1000.jpg,https://images.homedepot-static.com/productImages/59e420e7-1618-4edd-803b-84ae416ebe99/svn/brinly-hardy-core-aerators-sat-40bh-c3_1000.jpg,https://images.homedepot-static.com/productImages/1232f1a6-6e18-401e-a473-2faf70f25c2a/svn/brinly-hardy-core-aerators-sat-40bh-4f_1000.jpg,https://images.homedepot-static.com/productImages/b75ecfea-97bc-4c8c-a046-bd646b7a8c4b/svn/brinly-hardy-core-aerators-sat-40bh-1f_1000.jpg,https://images.homedepot-static.com/productImages/d6c69364-1a33-42ca-91e6-94af68a982c1/svn/brinly-hardy-core-aerators-sat-40bh-44_1000.jpg,https://images.homedepot-static.com/productImages/64d82bf5-a40a-4c09-a9b3-3d4845134686/svn/brinly-hardy-core-aerators-sat-40bh-fa_1000.jpg","Riding Mower Features : Pneumatic Tires,Tool-free adjustments,Refurbished : No,Features : Assembly Required,Single-lever height adjustment,Zero-Turn Capable,Returnable : 90-Day,Material : Steel,Product Weight (lb.) : 40 lb,Application Type : Lawn Care,Fits Brands : Universal,Fits Models : All models with rear hitch plate,Aerator Type : Spike,Assembly Required : Yes,Included : Hitch Pin,Working Width (in.) : 40,Maximum Penetration (in.) : 2,Assembled Height (in.) : 24.25 in,Assembled Depth (in.) : 26 in,Assembled Width (in.) : 46.5 in,Manufacturer Warranty : 2 Year","Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/da/da8b2fc1-2bc2-4716-ae15-5b7e158768e8.pdf,Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/5b/5b717422-97fd-455b-a357-56f7fcd232ad.pdf,Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/a2/a2197f3f-447d-4d5d-8f32-02d02d31d46f.pdf,Full Product Manual : https://images.homedepot-static.com/catalog/pdfImages/5b/5b717422-97fd-455b-a357-56f7fcd232ad.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/86/866ea577-44a5-43e8-a58f-08e81e8757e8.pdf"
303145758,QI003296,Lawn and Garden Aerator Spike Shoe,"Using our lawn aerator shoes will help your lawn stay healthy, and reduce its maintenance requirements by improving the air exchange between the soil and atmosphere. No other heavy and expensive machines needed around your yard. Sharp nails will make it easy to penetrate the soil while walking. The sandals feature 3 strong straps for ultimate support.","Bullet05 : Slightly moist soil will help keep the longevity of the nails,Bullet03 : Sharp nails will make it easy to penetrate the soil while walking,Bullet04 : Easiest way to keep your yard healthy and green promoting nutrients to feed into the roots,Bullet01 : Size: 5.75 in. W x 12 in. D x 2 in. H,MFG Brand Name : Gardenised,Bullet02 : Lawn aerator shoes provide an easy way to revitalize hard compacted soils",22.0 / 22.0,"Product Highlight 3 : 3 straps for a secure fit,Product Highlight 1 : Helps to deliver air and water to the roots,Product Highlight 2 : Sharp nails to loosen hard and compact soil",2.7143,"https://images.homedepot-static.com/productImages/902ba421-1f81-437d-8bb2-d6415a2eafd3/svn/gardenised-aerators-qi003296-64_1000.jpg,https://images.homedepot-static.com/productImages/19be6eb6-2ddc-476a-b974-3a7c3dd2bc10/svn/gardenised-aerators-qi003296-e1_1000.jpg,https://images.homedepot-static.com/productImages/bef513ed-5f30-4c68-889f-871ed9f9376b/svn/gardenised-aerators-qi003296-c3_1000.jpg,https://images.homedepot-static.com/productImages/79919e83-f17a-4c03-9a42-569bb764c8e4/svn/gardenised-aerators-qi003296-4f_1000.jpg,https://images.homedepot-static.com/productImages/42246a4a-30fd-4649-a7a9-d6ee477f9ea7/svn/gardenised-aerators-qi003296-1f_1000.jpg","Garden Center Tool Type : Aerator,Product Weight (lb.) : 1.95 lb,Returnable : 90-Day,Number of tines : 13,Product Depth (in.) : 12,Tine length (in.) : 1.75,Handle Length (in.) : 0,Product Width (in.) : 5.75 in,Product Height (in.) : 2 in,Head Width (in.) : 0,Manufacturer Warranty : N/A",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/7e/7e8a15d1-8c23-432b-afdf-8e504be33134.pdf
203433617,10-8,14 in. Push Spike Aerator,"The Ohio Steel hand operated Push Aerator features a 14 in. wide spike path and 8 in. diameter steel spike discs for deep aeration. Steel weight tray holds additional weight for better penetration in varying soil conditions. For over 50 years Ohio Steel has manufactured high-quality, innovative tractor and ATV attachments that help get the job done faster and with less effort.","MFG Brand Name : Ohio Steel,Bullet04 : Steel weight tray,Bullet01 : 14 in. spiking width,Bullet02 : 8 in. Dia steel spike discs,Bullet03 : Push handle for manual operation",180.02 / 180.02,"Product Highlight 1 : Achieve a wide spike path with hand-operated aerator,Product Highlight 2 : Features a spike path of 14 in.,Product Highlight 3 : Made of durable steel",3.3438,https://images.homedepot-static.com/productImages/c3eb7fed-2a45-4393-943d-a696c7232f95/svn/ohio-steel-core-aerators-10-8-64_1000.jpg,"Product Weight (lb.) : 30,Refurbished : No,Returnable : 90-Day,Features : 2-Piece Drawbar,Material : Steel,Application Type : Lawn Care,Aerator Type : Spike,Included : Weight Tray,Assembly Required : Yes,Maximum Penetration (in.) : 2,Working Width (in.) : 14,Assembled Depth (in.) : 20 in,Assembled Height (in.) : 36 in,Assembled Width (in.) : 15 in,Manufacturer Warranty : 1 year limited","Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/17/173fd69f-7f45-4715-a71f-7986bad4432d.pdf,Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/79/796f0c94-e3b6-476a-ad31-01a7016bfa13.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/30/3023c54a-5ca1-416c-afc2-291a8493a1c9.pdf"
