Item #,Model #,Item Name,Description,Product Details,Price (New/Used),Highlights/Features,Average,Pictures,Specifications,Manual / Guides
311375601,AP2065WH,10 ft. x 30 ft. White Canopy Heavy-Duty Gazebo Pavilion Event Party Wedding Outdoor Patio Tent,"Our high quality tents can be conveniently carried and are perfect for many outdoor needs. It is ideal for commercial or recreational use - parties, weddings, flea markets, etc. You can be erected on hard surfaces such as decks, driveways, lawn, etc.","Bullet02 : High quality, rust and corrosion resistant powder coated steel framework,Bullet12 : Frame: white powder coated steel with PE joint fittings,MFG Brand Name : Costway,Bullet04 : Easy and fast to set up suitable for all kinds of events,Bullet01 : Durable water proof polyethylene,Bullet14 : Color: white,Bullet06 : Great for commercial use, parties, backyard events, etc,Bullet05 : All necessary hardware is included,Bullet08 : Installation manual included,Bullet09 : Model: 30 ft. x 10 ft. 3-side wall,Bullet03 : High strength joint fittings,Bullet10 : Material: polyethylene,Bullet13 : Sidewalls: 90 g polyethylene plus water proof plus UV,Bullet11 : Number of wall cover: 5,Bullet15 : Size: 30 ft. x 10 ft. 5 x walls with windows,Bullet07 : Comes with ropes and stakes for added stability",99.99 / 109.99,,3.2,"https://images.homedepot-static.com/productImages/fde3a2c8-93b6-47c7-9a52-16bb49caa222/svn/whites-costway-canopy-tents-ap2065wh-64_1000.jpg,https://images.homedepot-static.com/productImages/b2c9d903-92ea-4565-8f3c-9bffe631ebf5/svn/whites-costway-canopy-tents-ap2065wh-1d_1000.jpg,https://images.homedepot-static.com/productImages/9837bdd2-55d8-49ac-b945-3720c8d0b405/svn/whites-costway-canopy-tents-ap2065wh-66_1000.jpg,https://images.homedepot-static.com/productImages/c604535a-ad49-433d-863a-a2abfabaa341/svn/whites-costway-canopy-tents-ap2065wh-c3_1000.jpg,https://images.homedepot-static.com/productImages/9b4ea203-a819-4d72-a24d-8dc7a54e34c1/svn/whites-costway-canopy-tents-ap2065wh-4f_1000.jpg,https://images.homedepot-static.com/productImages/66320674-50d6-4ec1-829b-bacebba3fbf7/svn/whites-costway-canopy-tents-ap2065wh-1f_1000.jpg,https://images.homedepot-static.com/productImages/f4efa734-6384-4f6a-8c3b-cfbfc5bbb9d4/svn/whites-costway-canopy-tents-ap2065wh-44_1000.jpg,https://images.homedepot-static.com/productImages/b46032a3-fb05-4edd-90bd-3a5c5d6dfd65/svn/whites-costway-canopy-tents-ap2065wh-fa_1000.jpg,https://images.homedepot-static.com/productImages/58d42c4f-3a4d-430a-8768-d876797ea7d1/svn/whites-costway-canopy-tents-ap2065wh-76_1000.jpg","Included : Assembly Instructions,Hardware,Color Family : Whites,Canopy Features : No additional features,Returnable : 90-Day,Outdoor Living Product Type : Canopy/Tent,Product Weight (lb.) : 42.3 lb,Style : Transitional,Color : White,Frame Color Family : Whites,Assembly Required : Yes,Coverage Area (sq. ft.) : 300 ft²,Highest Clearance (in.) : 360,Lowest Clearance (in.) : 120,Approximate Depth (ft.) : 30,Approximate Width (ft.) : 10,Assembled Width (in.) : 120 in,Assembled Depth (in.) : 360 in,Assembled Height (in.) : 102 in,Manufacturer Warranty : 3 Months","Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/eb/eb321051-f034-4321-ba07-5bf74b2652d2.pdf,Installation Guide : https://images.homedepot-static.com/catalog/pdfImages/42/42244979-c076-47f0-809a-590f75b40db7.pdf,Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/8d/8dad9732-1180-4d3e-a16e-af17176b0ab8.pdf,Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/de/de387bd1-ea8e-418d-9cd6-a868ce5745e7.pdf"
300059561,BPA19/BLB/LED,60-Watt Equivalent A19 Medium E26 Base LED Black Light Party Light Bulb,"This LED Black Light A-Bulb makes the perfect replacement bulb for older incandescent 60-Watt Black Light bulb. This LED bulb will liven up your celebrations, Halloween parties, dances and get-togethers for years. The Black Light completely changes the atmosphere of any happy gathering or occasion by ""making"" objects glow.","Bullet23 : <a href=https://www.homedepot.com/c/electronics_recycling_programs style=color:#F96302; target=_blank>Click here for more information on Electronic Recycling Programs</a>,Bullet01 : Estimated yearly energy cost: $1.08 (based on 3 hours/day, 11¢/kWh, cost depends on rates and use),Bullet09 : Click here to learn more about <a href=""https://ecooptions.homedepot.com/energy-efficiency/"" target=""_blank"" style=""color:#F96302;"">Eco Options and Energy Efficiency</a>,Bullet04 : Fits in all standard incandescent sockets,Bullet05 : Instant on with even light distribution,Bullet07 : Suitable for damp locations,Bullet02 : Emits a black light blue color finish,Bullet06 : Mercury free,Bullet08 : <a href=https://www.homedepot.com/c/led_light_bulbs_energy_efficient_way_to_light_your_home_HT_BG_EL style=""color: #F96302"" target=""_blank"">View The Home Depot's LED Bulb Buying Guide</a>,Bullet03 : Sensational special effects,MFG Brand Name : Feit Electric,Bullet21 : <a href=""https://www.homedepot.com/b/Feit-Electric/LED/N-5yc1vZ3zeZ1z0vxij/Ntk-ProductInfoMatch/Ntt-light%2Bbulbs?NCNI-5"" target=""_blank"" style=""color:#F96302;"">Shop All Feit Electric LED Light Bulbs</a>",16.98 / 16.98,"Product Highlight 1 : Perfect LED black light for any party, dorm room or nightclub,Product Highlight 3 : Low heat, durable LED that emits a black light blue color finish,Product Highlight 2 : Helps make objects and posters appear vivid or neon in appearance",3.8571,"https://images.homedepot-static.com/productImages/f0854bc6-022d-4ea9-80d7-6551d40fbeca/svn/white-feit-electric-black-light-bulbs-bpa19-blb-led-64_1000.jpg,https://images.homedepot-static.com/productImages/3e1fc153-5b93-40b0-af6e-2de9cbb73919/svn/white-feit-electric-black-light-bulbs-bpa19-blb-led-e1_1000.jpg,https://images.homedepot-static.com/productImages/db1d7f40-a14f-4999-a163-dc5c528898d4/svn/white-feit-electric-black-light-bulbs-bpa19-blb-led-c3_1000.jpg,https://images.homedepot-static.com/productImages/b5501f7b-253e-48f8-bf2c-c6b3935584aa/svn/white-feit-electric-black-light-bulbs-bpa19-blb-led-4f_1000.jpg,https://images.homedepot-static.com/productImages/404fb795-3a8b-433d-9241-97e557546975/svn/white-feit-electric-black-light-bulbs-bpa19-blb-led-1f_1000.jpg","Fixture Color/Finish : White,Bulb Color : Black Light,Color Temperature : Soft White,Returnable : 90-Day,Wattage (Watts) : 9,Actual Color Temperature (K) : 0,Specialty Bulb Type : Black Light,Lighting Technology : LED,Indoor/Outdoor : Indoor,Color Rendering Index (CRI) : 0,Average Life (hours) : 25000,Bulb Type : Specialty,Light Bulb Features : Energy Saving,Environmentally-Friendly Design,Mercury Free,Bulb Construction : Plastic,Bulb Shape : Standard,Light Bulb Base Type : Medium,Light Bulb Base Code : E26,Light Bulb Shape Code : A19,Number of Bulbs Included : 1,Wattage Equivalence : 60,Product Height (in.) : 4.5,Product Width (in.) : 2.25,Product Depth (in.) : 2.25,Bulb Diameter (In.) : 2.25,Manufacturer Warranty : 2 Year","Specification : https://images.homedepot-static.com/catalog/pdfImages/c2/c25a1475-fa24-4d42-8dbd-f3012d2a43ee.pdf,Warranty : https://images.homedepot-static.com/catalog/pdfImages/fb/fb4647f8-10d7-4d1e-b3a1-62a2523ccc80.pdf,Energy Guide : https://images.homedepot-static.com/catalog/pdfImages/56/569c295b-91d2-4f2d-8442-2bba7272f24b.pdf"
309002662,PSTRINGLED11,17 ft. LED Outdoor Party String Lights for Patio,"The new, stylish and functional LED energy-saving patio string lights have arrived! Stop wasting tons of energy with old incandescent versions and upgrade to the energy friendly version! The Newhouse Lighting LED string lights are the perfect outdoor patio lights for your backyard or garden. Connect up to 30 strands together with no hassle by simply plugging one directly into another. String them between trees, along a fence line, or in clusters around your space. Newhouse Lighting: Defining Life’s Brighter Moments.","Bullet07 : Satisfaction guaranteed: at Newhouse Lighting, we focus all efforts on providing you with sensible, stylish and efficient LED lighting products, all of our LED desk lamps are designed to last to a minimum of 25,000 hours with a manufacturers defect warranty of 5 years, we stand by our quality,Bullet01 : ENERGY FRIENDLY LED PARTY LIGHTS: The 1W filament light bulb uses just a fraction of energy compared to the incandescent counter-part, and last 5x longer!,MFG Brand Name : Newhouse Lighting,Bullet04 : TIMELESS DESIGN: The benefits of our LED light bulbs mixed with the timeless look and vibe of outdoor string lights are the perfect choice for patio lights decor.,Bullet03 : LINK MULTIPLE STRING LIGHTS: Connect up to 30 globe string light strands together to transform your space into a magical wonderland.,Bullet05 : FUNCTION AND STYLE: These stylish LED string lights for patio will add the perfect touch of ambiance to any outdoor get together. Brighten up your outdoor space while bringing a touch of fun to the moment!,Bullet02 : WEATHERPROOF STRING LIGHTS: Weatherproof and leak-proof. Hang these lights anywhere you want cafe or bistro style outside lights without worrying about weather.,Bullet06 : SATISFACTION : Be confident with your purchase knowing this product is backed by a 5 year limited against manufacturer defects.",18.99 / 18.99,"Product Highlight 3 : 1W filament light bulb uses a fraction of energy & last 5x longer,Product Highlight 2 : Connect up to 30 string lights together for additional lighting,Product Highlight 1 : Hang lights anywhere you want bistro style lighting",4.625,"https://images.homedepot-static.com/productImages/51f4770a-436f-4179-9769-8d3906bf93c4/svn/black-newhouse-lighting-string-lights-pstringled11-64_1000.jpg,https://images.homedepot-static.com/productImages/331b0bbe-855f-4d18-96f4-bad27dff06c0/svn/black-newhouse-lighting-string-lights-pstringled11-c3_1000.jpg,https://images.homedepot-static.com/productImages/6019776d-5bf3-4c2b-9bfe-b1dd517499b1/svn/black-newhouse-lighting-string-lights-pstringled11-4f_1000.jpg,https://images.homedepot-static.com/productImages/61dc450b-2013-404f-bf57-6d3d9f0ef27d/svn/black-newhouse-lighting-string-lights-pstringled11-1f_1000.jpg,https://images.homedepot-static.com/productImages/b89206c0-2f3f-468c-a47b-456765fc09b0/svn/black-newhouse-lighting-string-lights-pstringled11-44_1000.jpg,https://images.homedepot-static.com/productImages/1385bdf6-cf2b-4cf8-a524-9db6f20d3c5d/svn/black-newhouse-lighting-string-lights-pstringled11-fa_1000.jpg,https://images.homedepot-static.com/productImages/a5672951-9aab-48a7-a894-235a135b2410/svn/black-newhouse-lighting-string-lights-pstringled11-76_1000.jpg","Power Type : Line Voltage,Light Bulb Base Code : E12,Returnable : 90-Day,Exterior Lighting Product Type : String Lights,Compatible Bulb Type : Incandescent,LED,Maximum Wattage (watts) : 0,Light Bulb Type Included : LED,Space Between Bulbs (in.) : 18,Outdoor Lighting Features : Weather Resistant,Number of Bulbs : 11,Fixture Color/Finish : Black,Indoor/Outdoor : Indoor,Outdoor,Product Weight (lb.) : .5 lb,Bulb Color : Clear,Maximum Bulb Wattage : 11 W,Recommended Light Bulb Shape Code : G40,Weather Resistant : Yes,Style : Modern,Voltage (v) : 120v,Bulb Shape : Globe,Product Depth (in.) : 1.5 in,Product Length (in.) : 204 in,Product Height (in.) : 3 in,Product Width (in.) : 1.5 in,Manufacturer Warranty : 5-Year",Warranty : https://images.homedepot-static.com/catalog/pdfImages/fa/fab2f571-6cc7-4b18-9302-56ad3ed40900.pdf
205932904,25920,"20 ft. W x 20 ft. H Party Tent in White with Enclosure Kit, Galvanized Steel Frame, and Waterproof, Fire-Rated Fabric",ShelterLogic Party Tents 20 ft. x 20 ft. are a decorative and affordable solution for hosting any outdoor event or festival. Host the reception cocktail hour or let the DJ spin the music and get everyone dancing while protected from the weather. The included Enclosure Kit adds complete wall and door panels for the option of full protection. Use one or all six individual clear PVC windows depending on the event needs. Two double zipper doors are also included allowing for multiple entry options. Why rent a tent for just one day when you can own a ShelterLogic Party Tent for less than the cost of a rental.,"Bullet04 : Decorative scalloped cover valances, leg valances and clear PVC windows,Bullet02 : Heavy duty fire-rated PVC fabric (CPAI-84 compliant) stands up to the elements,MFG Brand Name : ShelterLogic,Bullet07 : Frame, leg and fabric anchoring options create a sturdy and stable unit while keeping wind and rain out,Bullet01 : 100% galvanized steel - 1.5 in./38 mm Dia steel tubes for ultimate durability, rust protection and superior strength,Bullet03 : 100% waterproof, UV treated, welded seams,Bullet08 : Fitted cover with closed end design and leg valances, use 1 or all 6 individual clear PVC windows, 2 double zipper doors for multiple entry options,Bullet05 : Fitted cover with closed end design and leg valances,Bullet06 : Tool-free frame assembly makes set-up quick and easy",1027.4 / 1027.4,"Product Highlight 1 : Heat-sealed waterproof ripstop fabric resists fade and aging,Product Highlight 2 : High grade powdercoated steel frame resists wear and corrosion,Product Highlight 3 : Shelterlogic 1-year limited warranty",2.3333,"https://images.homedepot-static.com/productImages/118c5600-15ae-4d34-9045-6f0e9b927923/svn/whites-shelterlogic-canopy-tents-25920-64_1000.jpg,https://images.homedepot-static.com/productImages/b4fbc073-4dca-4823-8db5-4bbdc14b0667/svn/whites-shelterlogic-canopy-tents-25920-e1_1000.jpg,https://images.homedepot-static.com/productImages/b0232e15-4b91-4c46-ac78-aedff36cf3dd/svn/whites-shelterlogic-canopy-tents-25920-c3_1000.jpg,https://images.homedepot-static.com/productImages/50aaee2a-f9b4-410b-ad01-70dbeda59e8d/svn/whites-shelterlogic-canopy-tents-25920-4f_1000.jpg,https://images.homedepot-static.com/productImages/22927266-6b2d-4c9f-98f4-0f5990adeb28/svn/whites-shelterlogic-canopy-tents-25920-1f_1000.jpg","Frame Color Family : Metallics,Color Family : Whites,Canopy Features : Rust resistant,Water resistant,Returnable : 90-Day,Product Weight (lb.) : 308.6,Style : Modern,Outdoor Living Product Type : Canopy/Tent,Color : White,Included : Assembly Instructions,Building Component,Hardware,Assembly Required : Yes,Lowest Clearance (in.) : 75.6,Approximate Depth (ft.) : 20,Highest Clearance (in.) : 75.6,Assembled Width (in.) : 236.4 in,Approximate Width (ft.) : 20,Assembled Height (in.) : 236.4 in,Assembled Depth (in.) : 236.4 in,Coverage Area (sq. ft.) : 472,Manufacturer Warranty : 1 Year Limited Warranty","Installation Guide : https://images.homedepot-static.com/catalog/pdfImages/9b/9b654112-33c5-4ee1-bfa5-72a7212f0c3a.pdf,Specification : https://images.homedepot-static.com/catalog/pdfImages/5a/5a544c9d-60bb-4a2f-8f2e-ceb785051464.pdf,Replacement Part List : https://images.homedepot-static.com/catalog/pdfImages/9b/9b654112-33c5-4ee1-bfa5-72a7212f0c3a.pdf,Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/71/71441e2d-0a7b-405f-8fc4-f74a3642d6e9.pdf,Use and Care Manual : https://images.homedepot-static.com/catalog/pdfImages/08/088a0f76-6c76-49da-a415-6d22752c22ef.pdf,Full Product Manual : https://images.homedepot-static.com/catalog/pdfImages/9b/9b654112-33c5-4ee1-bfa5-72a7212f0c3a.pdf"
307893698,985105301M,12 in. Rechargeable Double Subwoofer Portable Bluetooth Party Speaker,"The new beFree Sound Rechargeable Bluetooth 12 in. Double Subwoofer Portable Party Speaker with Dual Layer Reactive Party Lights, USB, SD, TF and AUX Inputs with FM Radio is an all in one entertainment assistant for the most advanced entertainers around. This easily portable speaker includes hard mounted top handles for your convenience and boasts a large frame to ensure its highly visible. With such a colorful dual layer light show display, this sound system is sure to pump up the party in whole new way. While your guests may already enjoy your music selections, this speaker will help you take your entertaining to higher level. You can connect a variety of devices and choose the input that is best to suit your needs. You always have the option of turning off the reactive light show for those subtler gatherings and allowing yourself to enjoy the strong, clear sound provided by the Dual 12 in. Sub-woofers.","Bullet02 : Double subwoofers offer a thunderous and thrilling sound,Bullet01 : 900-Watt,MFG Brand Name : BEFREE SOUND,Bullet03 : Hard mounted top handles and dual rolling wheels make this unit easy to transport and handle,Bullet04 : 2-layers of individually reactive lights which change colors and move to the rhythm of your favorite tracks",189.99 / 189.99,,3.8571,"https://images.homedepot-static.com/productImages/4c4e345d-961a-4df0-92b4-70fac1431f43/svn/black-befree-sound-portable-audio-video-985105301m-64_1000.jpg,https://images.homedepot-static.com/productImages/79b3014c-d640-42d2-8ee1-c16381d10886/svn/black-befree-sound-portable-audio-video-985105301m-e1_1000.jpg,https://images.homedepot-static.com/productImages/a6880117-060d-45f3-bdf4-e502a75d3d32/svn/black-befree-sound-portable-audio-video-985105301m-40_1000.jpg,https://images.homedepot-static.com/productImages/77bbf1f4-a04f-4313-b862-e4805520f0ff/svn/black-befree-sound-portable-audio-video-985105301m-a0_1000.jpg,https://images.homedepot-static.com/productImages/aa1b1d1c-9ee8-4c68-96da-6cb8afe68096/svn/black-befree-sound-portable-audio-video-985105301m-1d_1000.jpg,https://images.homedepot-static.com/productImages/f8b6eb44-9da2-469b-ace7-4542ab2ef4c0/svn/black-befree-sound-portable-audio-video-985105301m-66_1000.jpg,https://images.homedepot-static.com/productImages/b2bb7202-a8ee-4f0e-a2d3-b9f34c268043/svn/black-befree-sound-portable-audio-video-985105301m-77_1000.jpg","Electronics Included Components : Wireless Remote,Returnable : 90-Day,Indoor/Outdoor : Indoor/Outdoor,Color/Finish : Black,Features : Bluetooth,Microphone,Portable,Remote control,Wireless,Wired or Wireless : Combo,Product Type : Party Speakers,Power Source : AC Adaptor,Rechargeable Lithium-Ion Battery,Product Height (in.) : 43.00 in,Product Depth (in.) : 12.00 in,Product Width (in.) : 15.00 in,Manufacturer Warranty : 90 Days",SDS : https://images.homedepot-static.com/catalog/pdfImages/36/366a1fb1-bc3c-451a-b329-bcf09cd1bd05.pdf
307939976,98597503M,Portable Bluetooth Party Light Projection Speaker,beFree Sound's Projection Party Light Dome Subwoofer Bluetooth Portable Party Speaker offers both stunning sound and a fun projection light dome. The party lights really set the mood for you and your guests. You can choose to use this speaker with or without the light projection which makes it ideal for a professional setting as well as a party scene.,"Bullet02 : 6.5 in. sub-woofer,Bullet03 : 400-Watt PMPO,Bullet01 : Includes remote control and wireless microphone,MFG Brand Name : BEFREE SOUND,Bullet04 : AC 100-240-Volt",75.24 / 75.24,,0.0,"https://images.homedepot-static.com/productImages/25b99af4-a27d-4725-a359-b9cf68861b6b/svn/black-portable-audio-video-98597503m-64_1000.jpg,https://images.homedepot-static.com/productImages/a06bc604-f225-4bc6-9108-01b9d83727c4/svn/black-portable-audio-video-98597503m-c3_1000.jpg,https://images.homedepot-static.com/productImages/758c39bb-fca9-4544-afce-2b9303846a4a/svn/black-portable-audio-video-98597503m-4f_1000.jpg,https://images.homedepot-static.com/productImages/328a3673-c072-4ef0-a5cc-1b5685122bf6/svn/black-portable-audio-video-98597503m-1f_1000.jpg","Electronics Included Components : AC Adaptor/Charger,Wireless Remote,Returnable : 90-Day,Indoor/Outdoor : Indoor/Outdoor,Color/Finish : Black,Features : Wireless speakers,Wired or Wireless : Combo,Product Type : Party Speakers,Power Source : AC Adaptor,Rechargeable Lithium-Ion Battery,Product Height (in.) : 17.50 in,Product Width (in.) : 11.50 in,Product Depth (in.) : 11.50 in,Manufacturer Warranty : 90 Days",SDS : https://images.homedepot-static.com/catalog/pdfImages/1a/1a4d3c59-6e06-4a00-8045-85ab4bb5fc3f.pdf
203639890,3000005354,"24-Can Party Stacker Cooler, Blue","Get ready for the party with the Coleman 24-Can Party Stacker Cooler in blue. Its lid was designed specifically to interlock with the bases of other Party Stacker Coolers (sold separately) to give you added organization and convenience. Use one designated colored cooler for drinks and another for food, so everyone knows where to find exactly what they need.","Bullet02 : Molded handles for easy, comfortable carrying,Bullet04 : 6 Qt. capacity,Bullet03 : Wide enough for a 13 in. x 9 in. dish,Bullet01 : Holds 24 cans of your beverage of choice, plus ice,Bullet05 : Exterior dimensions: 22 in. x 13.5 in. x 8.25 in.,MFG Brand Name : Coleman,Bullet06 : Interior dimensions: 16.38 in. x 11.13 in. x 6 in.",18.04 / 18.04,,5.0,https://images.homedepot-static.com/productImages/d17a05d0-45a1-47c9-959e-a117cc0ff570/svn/blues-coleman-chest-coolers-3000005354-64_1000.jpg,"Number of Handles : 2,Color : Blue,Outdoor Living Product Type : Chest Cooler,Material : Polyurethane,Returnable : 90-Day,Insulation Type : Thermozone,Color Family : Blues,Product Weight (lb.) : 5.7,Cooler Features : Rust proof,Total capacity (qt.) : 6,Product Width (in.) : 13.5,Product Depth (in.) : 13.5,Product Height (in.) : 8.25,Manufacturer Warranty : 1 year limited warranty",
202021589,3000005591,25 Qt. Party Stacker Cooler,"Ensure your drinks and food always stay cool at the beach, tailgate or barbecue with the Coleman 25 Qt. Party Stacker Cooler. This unique cooler fits 24 cans of your favorite drink, plus ice. It features an interlocking base and lid for effortless stacking with other Coleman Party Stacker Coolers (sold separately). Organizing your next get-together just got easier.","Bullet04 : Wide design to store 9 in. x 13 in. food dishes,Bullet01 : Environmentally friendly ThermOZONE foam insulation to help maintain a consistent temperature,Bullet05 : Classic red color,Bullet03 : Plastic lining to make the cooler easy to clean,Bullet02 : Molded handles for effortless and comfortable carrying,MFG Brand Name : Coleman",16.41 / 16.41,,4.9429,"https://images.homedepot-static.com/productImages/a42d2af7-dad2-41b1-b383-9ab9812f8ebc/svn/reds-pinks-coleman-chest-coolers-3000005591-64_1000.jpg,https://images.homedepot-static.com/productImages/5f510e97-c7e7-4298-bce0-59549f081048/svn/reds-pinks-coleman-chest-coolers-3000005591-c3_1000.jpg","Total capacity (qt.) : 25,Outdoor Living Product Type : Chest Cooler,Cooler Features : No additional features,Material : Polyurethane,Returnable : 90-Day,Lid Style : Attached,Insulation Type : Thermozone,Product Weight (lb.) : 5.7,Number of Handles : 2.0,Color Family : Reds / Pinks,Color : Red,Product Depth (in.) : 22.25,Product Width (in.) : 13.625 in,Product Height (in.) : 8.25,Manufacturer Warranty : 6 year limited",
307421745,OA115,"Surge DJ System/15 in. BT Party Speaker Set with Rechargeable Battery, Wireless Mic, Remote and Tripod","The Surge from One Audio is a plug-and-play all-inclusive DJ System/Party Speaker Set Featuring a 15 Colored LED Speaker, an adjustable speaker stand, a wireless microphone and remote. The Surge give you the option for corded or battery use via a built-in high-grade rechargeable lithium battery. Recharging takes only a few hours to complete and then you are ready to rock once more. Take the surge with you wherever you go. Easy to transport with durable and versatile wheels and handles, the Surge can go where you do. The sturdy case also means that the surge can be laid on its side without issue. With the Surge you can connect and stream directly from all of your favorite audio devices utilizing the built-in NFC and Bluetooth technologies. Stream from your mobile phone, tablet, MP3 Player, Computer and more. Additional SD card and USB ports also give the option to connect via cable or wire should wireless pairing not be an option for you. Never worry about tripping over a corded microphone, the Surges microphone utilizes device pairing to pair wirelessly with the speaker, freeing up your movement possibilities. A remote control also allows you to control volume, frequency and other options from a distance. The labeled back panel gives you the ability to connect and tune all of your favorite instruments including guitars, keyboards, basses and more. So, sync up and give yourself a night to remember by singing and playing along with your favorite songs.","Bullet13 : Individual guitar or instrumental volume controls,MFG Brand Name : ProMounts,Bullet01 : Built-in colored LED light with ON/OFF switch,Bullet03 : RCA line-in control,Bullet06 : Individual bass and treble controls,Bullet10 : LED display/MP3 player,Bullet05 : Dual microphone jacks,Bullet02 : Rechargeable battery with charge indicator light,Bullet23 : <a href=https://www.homedepot.com/c/electronics_recycling_programs style=color:#F96302; target=_blank>Click here for more information on Electronic Recycling Programs</a>,Bullet04 : SD card and USB ports,Bullet12 : Rear panel connection for keyboards, guitars or other devices,Bullet08 : AM/FM radio compatibility,Bullet09 : NFC and Bluetooth,Bullet11 : Auxiliary input jack,Bullet07 : Individual microphone bass, treble, echo and delay controls",139.99 / 139.99,,2.8333,"https://images.homedepot-static.com/productImages/02040621-3c43-42fa-9143-d422c66ca631/svn/black-promounts-portable-audio-video-oa115-64_1000.jpg,https://images.homedepot-static.com/productImages/3616d54b-d1f9-4088-ad7a-7cc8f47730a8/svn/black-promounts-portable-audio-video-oa115-40_1000.jpg,https://images.homedepot-static.com/productImages/548f2cd2-38d7-437b-bb2c-9cee169a73dd/svn/black-promounts-portable-audio-video-oa115-66_1000.jpg,https://images.homedepot-static.com/productImages/d6af9d47-ef1c-4629-a262-0ae972a4b304/svn/black-promounts-portable-audio-video-oa115-c3_1000.jpg,https://images.homedepot-static.com/productImages/2363cd34-ae4e-4965-85ad-5ccd39c535e4/svn/black-promounts-portable-audio-video-oa115-4f_1000.jpg,https://images.homedepot-static.com/productImages/8c867746-6bf0-4842-8088-1fef304163a4/svn/black-promounts-portable-audio-video-oa115-1f_1000.jpg,https://images.homedepot-static.com/productImages/28b18c9d-8667-4939-b9cb-c8f3f08c027a/svn/black-promounts-portable-audio-video-oa115-44_1000.jpg","Electronics Included Components : AC Adaptor/Charger,Batteries,USB Cable,Wireless Remote,Features : Audio/ Headphone Jack,Bluetooth,Digital display,Microphone,NFC,Portable,Wireless speakers,Returnable : 90-Day,Indoor/Outdoor : Indoor/Outdoor,Product Type : Wireless Speaker,Color/Finish : Black,Wired or Wireless : Combo,Power Source : AC Adaptor,Rechargeable Lithium-Ion Battery,Product Height (in.) : 27.5,Product Width (in.) : 17.5 in,Product Depth (in.) : 14 in,Manufacturer Warranty : 1 Year Limited Warranty",Warranty : https://images.homedepot-static.com/catalog/pdfImages/de/de58e657-47fe-4dc6-99e2-96fe8d0e1d14.pdf
305885371,PBX-8,"Portable Bluetooth Rechargeable Party Speaker with 8 in. Woofer, FM Radio, USB Port, Aux Input and Party Light","Portable Bluetooth Rechargeable Speaker perfect for indoor or outdoor parties, barbecue's, tailgates, etc. With flashing LED red, green and blue lights your parties will be entertaining. The PBX-8 has an 8 in. woofer for good sound quality and input options such as USB Port and Aux Input. In addition, the Microphone Input allows you to start a Karaoke Party. If those options don't suit your needs you can always play the FM Radio which is included.","Bullet23 : <a href=https://www.homedepot.com/c/electronics_recycling_programs style=color:#F96302; target=_blank>Click here for more information on Electronic Recycling Programs</a>,Bullet05 : USB port/Aux input,Bullet03 : LED lights (flashing red - green -blue lights),MFG Brand Name : QFX,Bullet06 : Microphone input,Bullet01 : Portable Bluetooth party speaker with 8 in. woofer,Bullet02 : Rechargeable battery and AC powered,Bullet04 : FM radio,Bullet07 : Black metal grill",41.2 / 41.2,,4.5,"https://images.homedepot-static.com/productImages/6f76307a-6532-4425-b26b-bb92376762cf/svn/black-qfx-portable-audio-video-pbx-8-64_1000.jpg,https://images.homedepot-static.com/productImages/d6f77363-3a31-4260-a822-6ae3ab75778c/svn/black-qfx-portable-audio-video-pbx-8-e1_1000.jpg,https://images.homedepot-static.com/productImages/dd42e355-d99d-4a5d-98ce-cb516f8b5265/svn/black-qfx-portable-audio-video-pbx-8-40_1000.jpg,https://images.homedepot-static.com/productImages/ad823088-091d-41f3-9f9f-3e2c1200328c/svn/black-qfx-portable-audio-video-pbx-8-66_1000.jpg","Features : Audio/ Headphone Jack,Bluetooth,Digital display,Portable,Wireless speakers,Returnable : 90-Day,Indoor/Outdoor : Indoor/Outdoor,Color/Finish : Black,Power Source : AC Adaptor,Rechargeable Lithium-Ion Battery,Electronics Included Components : AC Adaptor/Charger,Product Height (in.) : 17.4 in,Product Width (in.) : 11.5 in,Product Depth (in.) : 11.4 in,Manufacturer Warranty : Limited One Year Parts and Labor Warranty",SDS : https://images.homedepot-static.com/catalog/pdfImages/b5/b5bf6a47-b7f1-4cce-b727-bdcfb4da217d.pdf
