Item #,Model #,Item Name,Description,Product Details,Price (New/Used),Highlights/Features,Average,Pictures,Specifications,Manual / Guides
204476140,2594400,49 in. Fiberglass Handle Super Socket Digging Shovel,"This Razor-Back digging shovel used for all construction, lawn and garden work. It is the highest quality garden tool. It is ideal for a variety of uses, such as digging, planting, cutting sod and small roots.","Bullet05 : Recommended drain: K-7272 or K-7271,Bullet01 : Heavy gauge, tempered steel blade for maximum strength,MFG Brand Name : Razor-Back,Bullet02 : Extended socket length for maximum prying leverage and strength,Bullet04 : Large power step for secure footing,Bullet03 : Contractor grade fiberglass handle for durability",27.86 / 27.86,"Product Highlight 3 : Durable fiberglass handle,Product Highlight 2 : Power Step is perforated to reduce material buildup,Product Highlight 1 : Tempered steel blade and extended socket for maximum strength",4.6088,"https://images.homedepot-static.com/productImages/13315968-9590-40a5-b63e-13aa6e5dd743/svn/razor-back-shovels-2594400-64_1000.jpg,https://images.homedepot-static.com/productImages/b8bb617d-9776-4045-a27b-2d08a26b6378/svn/razor-back-shovels-2594400-66_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-2594400-c3_1000.jpg,https://images.homedepot-static.com/productImages/89fde90f-36d3-46e0-b543-0f44b39e5713/svn/razor-back-shovels-2594400-4f_1000.jpg,https://images.homedepot-static.com/productImages/3d94a278-9eb6-4be5-83f2-988ebf36ae2a/svn/razor-back-shovels-2594400-1f_1000.jpg,https://images.homedepot-static.com/productImages/77a5c4d0-7806-4155-a99a-5fc434f0e465/svn/razor-back-shovels-2594400-44_1000.jpg,https://images.homedepot-static.com/productImages/a06c41ec-3ff9-4293-924e-e184315c6d2e/svn/razor-back-shovels-2594400-fa_1000.jpg,https://images.homedepot-static.com/productImages/316cd56f-2e1d-489a-88c1-8cc0ac2201a0/svn/razor-back-shovels-2594400-76_1000.jpg,https://images.homedepot-static.com/productImages/90fa84aa-910a-4450-9d30-3e5a79cfb446/svn/razor-back-shovels-2594400-31_1000.jpg","Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Returnable : 90-Day,D-Grip Handle : No,Blade Material : Steel,Product Weight (lb.) : 5.24,Coated Blades : Yes,Product Depth (in.) : 5.25,Product Width (in.) : 9,Product Height (in.) : 62.25,Handle Length (in.) : 49,Blade Width (in.) : 9,Blade Length (in.) : 11.5 in,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
204476142,2594500,48.75 in. Fiberglass Handle Square Point Shovel,"This Razor-Back transfer shovel is ideal for lifting and moving heavy loads of rock, soil and other materials. It is the highest quality tool. Designed to transport loose material, such as soil, sand and gravel.","Bullet05 : Recommended drain: K-7272 or K-7271,Bullet02 : Contractor grade fiberglass handle,Bullet01 : Heavy gauge, tempered steel blade for maximum strength,MFG Brand Name : Razor-Back,Bullet03 : Extra-long 12 in. protective sleeve,Bullet04 : Cushioned grip for comfort and control",27.98 / 27.98,"Product Highlight 2 : Foot step for comfort and control,Product Highlight 3 : Strong fiberglass handle with cushion grip,Product Highlight 1 : Heavy duty steel blade is tempered for maximum strength",4.7876,"https://images.homedepot-static.com/productImages/35bcfd1e-fa97-48a2-a807-647b7b5d930f/svn/razor-back-shovels-2594500-64_1000.jpg,https://images.homedepot-static.com/productImages/829310cf-3bc4-4586-9a82-64f0f108a849/svn/razor-back-shovels-2594500-e1_1000.jpg,https://images.homedepot-static.com/productImages/ea9308b4-ca53-47e1-8ea5-710cd80ceb63/svn/razor-back-shovels-2594500-40_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-2594500-c3_1000.jpg,https://images.homedepot-static.com/productImages/588f6dc9-6d53-45e7-ab0c-c597dce58290/svn/razor-back-shovels-2594500-31_1000.jpg","Handle Material : Fiberglass,Garden Center Tool Type : Shovel,Product Weight (lb.) : 5.48,Returnable : 90-Day,D-Grip Handle : No,Blade Material : Steel,Coated Blades : Yes,Product Width (in.) : 9.5,Handle Length (in.) : 48.75,Product Depth (in.) : 6.25,Product Height (in.) : 61.5,Blade Length (in.) : 11.5 in,Blade Width (in.) : 9.5,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
204476137,2594200,25.75 in. Wood Handle Super Socket Digging Shovel,"This Razor-Back digging shovel used for all construction, lawn and garden work. It is the highest quality garden tool. It is ideal for a variety of uses, such as digging, planting, cutting sod and small roots.","Bullet05 : Recommended drain: K-7272 or K-7271,MFG Brand Name : Razor-Back,Bullet02 : Extended socket length for maximum prying leverage and strength,Bullet01 : Heavy gauge, tempered-steel blade for maximum strength,Bullet04 : Large power step for secure footing,Bullet03 : Strong steel encased wood grip prevents twisting",23.98 / 23.98,"Product Highlight 2 : Power Step is perforated to reduce material buildup,Product Highlight 3 : Strong hardwood handle with Armor D-grip,Product Highlight 1 : Tempered steel blade and extended socket for maximum strength",4.764,"https://images.homedepot-static.com/productImages/653da83e-3fe1-447c-8988-6c90883b7cc3/svn/razor-back-shovels-2594200-64_1000.jpg,https://images.homedepot-static.com/productImages/137fb0cb-7b55-4c3a-9102-fc83fd1f9b1e/svn/razor-back-shovels-2594200-e1_1000.jpg,https://images.homedepot-static.com/productImages/3a913513-2b3e-4980-9ae4-f9b800152710/svn/razor-back-shovels-2594200-40_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-2594200-c3_1000.jpg,https://images.homedepot-static.com/productImages/f25f40d5-ccdf-41e3-bd1a-94beab2cc6fb/svn/razor-back-shovels-2594200-4f_1000.jpg,https://images.homedepot-static.com/productImages/426bc348-cf52-4e53-baf2-9d0aaf6f3545/svn/razor-back-shovels-2594200-1f_1000.jpg,https://images.homedepot-static.com/productImages/1dc4afb4-97fe-43be-bffc-9c09316d197e/svn/razor-back-shovels-2594200-31_1000.jpg","Garden Center Tool Type : Shovel,Returnable : 90-Day,Handle Material : Wood,D-Grip Handle : Yes,Product Weight (lb.) : 4.94,Blade Material : Steel,Coated Blades : Yes,Product Width (in.) : 9,Product Height (in.) : 45.25,Handle Length (in.) : 25.75,Blade Width (in.) : 9,Product Depth (in.) : 5.375,Blade Length (in.) : 11.5 in,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
204476139,2594300,23.5 in. Wood D-Handle Square Point Shovel,"This Razor-Back square point shovel is an essential part of any tool assortment. Ideal for lifting and moving heavy loads of rock, soil and other materials. Designed to transport loose material, such as soil, sand and gravel.","Bullet05 : Recommended drain: K-7272 or K-7271,Bullet03 : Forward turned-step for secure foot placement,MFG Brand Name : Razor-Back,Bullet02 : North American hardwood handle for strength and durability,Bullet01 : Heavy gauge, tempered-steel blade for maximum strength,Bullet04 : Strong steel encased wood grip prevents twisting",23.98 / 23.98,"Product Highlight 3 : Strong hardwood handle with Armor D-grip,Product Highlight 2 : Foot step for comfort and control,Product Highlight 1 : Heavy duty steel blade is tempered for maximum strength",4.7162,"https://images.homedepot-static.com/productImages/ba636086-a4bf-4def-b672-d789078c0cf5/svn/razor-back-shovels-2594300-64_1000.jpg,https://images.homedepot-static.com/productImages/2c4869e9-858b-4658-9074-4298d2b4a5db/svn/razor-back-shovels-2594300-e1_1000.jpg,https://images.homedepot-static.com/productImages/e0fa30b6-88fa-4379-94a0-455a40009b0c/svn/razor-back-shovels-2594300-40_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-2594300-a0_1000.jpg,https://images.homedepot-static.com/productImages/23c7daec-6087-4cbe-87a1-7e7be4b47fe8/svn/razor-back-shovels-2594300-1d_1000.jpg,https://images.homedepot-static.com/productImages/e876eb40-fb9d-43cd-8213-4a1ea6005a8b/svn/razor-back-shovels-2594300-66_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-2594300-c3_1000.jpg,https://images.homedepot-static.com/productImages/23c7daec-6087-4cbe-87a1-7e7be4b47fe8/svn/razor-back-shovels-2594300-4f_1000.jpg,https://images.homedepot-static.com/productImages/e876eb40-fb9d-43cd-8213-4a1ea6005a8b/svn/razor-back-shovels-2594300-1f_1000.jpg,https://images.homedepot-static.com/productImages/7424bbf3-bd27-46c0-b0d4-66fb1963bfce/svn/razor-back-shovels-2594300-31_1000.jpg","Garden Center Tool Type : Shovel,Returnable : 90-Day,Handle Material : Wood,D-Grip Handle : Yes,Blade Material : Steel,Product Weight (lb.) : 4.88,Coated Blades : Yes,Product Width (in.) : 9.625,Product Depth (in.) : 6.625,Blade Width (in.) : 9.625,Product Height (in.) : 41.5,Blade Length (in.) : 11.75 in,Handle Length (in.) : 23.5,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
204476045,2531700,16 in. D-Handle Drain Spade,"The Ames D-Handled Drain Spade is designed for multiple uses with its long and narrow blade. It’s the best tool for uprooting and transplanting live trees and shrubs. It can also be used for digging deep holes, cleaning out ditches or trenches and working in tight spaces.","Bullet22 : <br /><br /><center><img src=""https://inlinecontent.homedepot-static.com/28I/AMES TRUE TEMPER INC/2531700 - AMES - Drain Spade.jpg""></center><br />,Bullet03 : 24 in. North American hardwood handle for strength and durability,Bullet01 : Tempered steel blade for years of service,Bullet04 : Poly D-grip for added comfort, control and easy storage,Bullet02 : Comfort step for secure foot placement,MFG Brand Name : Ames",29.98 / 29.98,"Product Highlight 1 : Narrow, tempered steel blade for transplanting and digging,Product Highlight 2 : Foot step for comfort, control and added downward force,Product Highlight 3 : 15 Year Warranty",4.4304,"https://images.homedepot-static.com/productImages/1ca5c26c-3b52-4e4a-96dc-dd9d8cff24e6/svn/ames-shovels-2531700-64_1000.jpg,https://images.homedepot-static.com/productImages/fb1f80b0-14a6-4fa8-b0f7-5da5ceb5944f/svn/ames-shovels-2531700-c3_1000.jpg,https://images.homedepot-static.com/productImages/5865c478-d33e-4706-9595-e69d03ebaa53/svn/ames-shovels-2531700-4f_1000.jpg,https://images.homedepot-static.com/productImages/86124f16-5e42-4b37-804c-7fdd432ad1bf/svn/ames-shovels-2531700-31_1000.jpg","Product Weight (lb.) : 3.84,Garden Center Tool Type : Shovel,Returnable : 90-Day,Handle Material : Wood,D-Grip Handle : Yes,Blade Material : Steel,Coated Blades : Yes,Product Height (in.) : 47,Blade Length (in.) : 16 in,Handle Length (in.) : 24,Product Width (in.) : 7.5,Product Depth (in.) : 2.75,Blade Width (in.) : 7.5,Manufacturer Warranty : 15 year",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/c4/c4197e80-af05-4c28-9922-adc57e85696b.pdf
204476144,2597400,16.25 in. D-Handle Drain Spade,This Razor-Back shovel is ideal for construction use. Digging narrow trenches and cleaning out previously dug ditches. 16.25 in. blade depth is used for transplanting shrubs and trees.,"Bullet01 : Heavy gauge, tempered steel blade for maximum strength,MFG Brand Name : Razor-Back,Bullet04 : Strong steel encased wood grip prevents twisting,Bullet03 : 23.5 in. North American hardwood handle for strength and durability,Bullet02 : Forward turned step for secure foot placement",36.98 / 36.98,"Product Highlight 3 : Strong hardwood handle with Armor D-grip,Product Highlight 2 : Foot step for comfort and control,Product Highlight 1 : Heavy duty steel blade is tempered for maximum strength",4.6148,"https://images.homedepot-static.com/productImages/e7bebe95-35de-4c83-afb2-e80b41daa8aa/svn/razor-back-shovels-2597400-64_1000.jpg,https://images.homedepot-static.com/productImages/707e5937-0cd6-40dd-990b-fdcd89ddec8e/svn/razor-back-shovels-2597400-e1_1000.jpg,https://images.homedepot-static.com/productImages/a896d821-f37f-415b-904a-d0160cb9389b/svn/razor-back-shovels-2597400-40_1000.jpg,https://images.homedepot-static.com/productImages/d1e72193-35f5-42e2-a369-d09c09ed284d/svn/razor-back-shovels-2597400-a0_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-2597400-c3_1000.jpg,https://images.homedepot-static.com/productImages/7d5bdc34-406b-4b62-8e67-99fe60053d38/svn/razor-back-shovels-2597400-4f_1000.jpg,https://images.homedepot-static.com/productImages/441fe44f-390a-4316-b4be-f0c0d93de84c/svn/razor-back-shovels-2597400-1f_1000.jpg,https://images.homedepot-static.com/productImages/696c5d4e-6907-496a-990a-844d2633ea3b/svn/razor-back-shovels-2597400-31_1000.jpg","Garden Center Tool Type : Shovel,Returnable : 90-Day,Handle Material : Wood,D-Grip Handle : Yes,Blade Material : Steel,Coated Blades : Yes,Product Weight (lb.) : 4.24,Blade Width (in.) : 5.75,Blade Length (in.) : 16.25 in,Product Width (in.) : 5.75,Product Height (in.) : 49.25,Handle Length (in.) : 23.5,Product Depth (in.) : 2.825,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/3b/3b18db23-4e60-4212-9f76-ca648eb13159.pdf
204476143,2594600,47.5 in. Wood Handle Trenching Shovel,This Razor-Back trenching shovel has a unique blade design for digging trenches. The 4 in. wide shaped blade is designed for digging a narrow trench in a construction application. It is the highest quality garden tool.,"Bullet01 : Heavy gauge, tempered steel blade for maximum strength,MFG Brand Name : Razor-Back,Bullet04 : Riveted for strong head to handle connection,Bullet03 : North American hardwood handle for strength and durability,Bullet02 : Forward turned step for secure foot placement",28.98 / 28.98,"Product Highlight 3 : Durable hardwood handle,Product Highlight 2 : Foot step for comfort and control,Product Highlight 1 : Narrow, tempered steel blade for trench digging",3.9767,"https://images.homedepot-static.com/productImages/3f0a667d-85e8-45ae-a051-afc0fa78235f/svn/razor-back-shovels-2594600-64_1000.jpg,https://images.homedepot-static.com/productImages/6f5f7656-7209-4ec9-b0b7-0f576872aa07/svn/razor-back-shovels-2594600-e1_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-2594600-c3_1000.jpg,https://images.homedepot-static.com/productImages/4e4b4757-f8d6-4996-8986-4d978c30ef48/svn/razor-back-shovels-2594600-31_1000.jpg","Garden Center Tool Type : Shovel,Returnable : 90-Day,D-Grip Handle : No,Product Weight (lb.) : 3.46,Handle Material : Wood,Blade Material : Steel,Coated Blades : Yes,Handle Length (in.) : 47.5,Blade Length (in.) : 12 in,Blade Width (in.) : 4,Product Height (in.) : 58.25,Product Depth (in.) : 6,Product Width (in.) : 4,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/1a/1a615bcf-18b5-4602-938e-71077d55a4dc.pdf
204476051,2593600,48 in. Wood Handle Round Point Shovel,"This Razor-Back digging shovel used for all construction, lawn and garden work. It is the highest quality garden tool. It is ideal for a variety of uses, such as digging, planting, cutting sod and small roots.","MFG Brand Name : Razor-Back,Bullet02 : Extended socket length for maximum prying leverage and strength,Bullet01 : Heavy gauge, tempered-steel blade for maximum strength,Bullet03 : Northern hardwood handle for strength and durability,Bullet04 : Large power step for secure footing",31.67 / 31.67,"Product Highlight 2 : Power Step is perforated to reduce material buildup,Product Highlight 1 : Tempered steel blade and extended socket for maximum strength,Product Highlight 3 : Strong hardwood handle with cushion grip",4.5529,"https://images.homedepot-static.com/productImages/8fdb646a-691c-4666-b0e2-590a854921f4/svn/razor-back-shovels-2593600-64_1000.jpg,https://images.homedepot-static.com/productImages/69da65da-62fd-49d4-8b85-6877c7981e24/svn/razor-back-shovels-2593600-e1_1000.jpg,https://images.homedepot-static.com/productImages/d02d981b-fe38-4caf-af17-f3a31b404f4b/svn/razor-back-shovels-2593600-40_1000.jpg,https://images.homedepot-static.com/productImages/ee125212-6c2a-475c-94ca-37e9aecee353/svn/razor-back-shovels-2593600-a0_1000.jpg,https://images.homedepot-static.com/productImages/8e91a011-aa6d-4b39-9ca2-a69e9a2ec569/svn/razor-back-shovels-2593600-1d_1000.jpg,https://images.homedepot-static.com/productImages/31bd995b-4b37-4ca7-a5c3-66d9ffc71621/svn/razor-back-shovels-2593600-66_1000.jpg,https://images.homedepot-static.com/productImages/8839312b-8f69-4fb2-8f84-32ccf2d2ed2d/svn/razor-back-shovels-2593600-77_1000.jpg,https://images.homedepot-static.com/productImages/8ea71bf4-81c8-4a0e-b838-7ebc713403bc/svn/razor-back-shovels-2593600-c3_1000.jpg,https://images.homedepot-static.com/productImages/e03ab78e-e5ba-4ec9-89fa-79800326a01a/svn/razor-back-shovels-2593600-4f_1000.jpg,https://images.homedepot-static.com/productImages/d2421f00-2757-4b34-b62c-09b859845e4e/svn/razor-back-shovels-2593600-1f_1000.jpg,https://images.homedepot-static.com/productImages/8ea71bf4-81c8-4a0e-b838-7ebc713403bc/svn/razor-back-shovels-2593600-44_1000.jpg,https://images.homedepot-static.com/productImages/e03ab78e-e5ba-4ec9-89fa-79800326a01a/svn/razor-back-shovels-2593600-fa_1000.jpg,https://images.homedepot-static.com/productImages/d2421f00-2757-4b34-b62c-09b859845e4e/svn/razor-back-shovels-2593600-76_1000.jpg,https://images.homedepot-static.com/productImages/a98fefc3-ddfe-4d5a-9982-c751e12f358f/svn/razor-back-shovels-2593600-31_1000.jpg","Garden Center Tool Type : Shovel,Returnable : 90-Day,D-Grip Handle : No,Handle Material : Wood,Blade Material : Steel,Product Weight (lb.) : 5.08,Coated Blades : Yes,Product Width (in.) : 9,Product Height (in.) : 60.25,Handle Length (in.) : 48,Product Depth (in.) : 5.125,Blade Width (in.) : 9,Blade Length (in.) : 11.5 in,Manufacturer Warranty : Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
204476158,2682700,27.5 in. D-Handle Poly Scoop,"The Ames poly scoop is a versatile, general purpose, year-round tool. It is well suited for a variety of lawn and garden uses as well as farm and agricultural ones. It is primarily used to lift and transfer a variety of materials, including stone, soil and grain.","Bullet02 : Large, deep poly blade perfect for big jobs,Bullet01 : Large poly D-grip for leverage and control,Bullet03 : 27.5 in. North American hardwood handle for strength and durability,Bullet04 : Also serves as excellent snow removal tool,MFG Brand Name : Ames",27.98 / 27.98,"Product Highlight 2 : Durable hardwood handle with poly D-grip,Product Highlight 3 : Use year round for lawn & garden and farm & agriculture,Product Highlight 1 : Great for moving soil, stone, grain and even snow",4.3745,"https://images.homedepot-static.com/productImages/e21a2dd3-bfc0-4289-8ea8-c8d1c6685300/svn/ames-garden-hand-tools-2682700-64_1000.jpg,https://images.homedepot-static.com/productImages/7c448972-4b53-4231-aa85-70e7dbc1e149/svn/ames-garden-hand-tools-2682700-c3_1000.jpg,https://images.homedepot-static.com/productImages/5865c478-d33e-4706-9595-e69d03ebaa53/svn/ames-garden-hand-tools-2682700-4f_1000.jpg,https://images.homedepot-static.com/productImages/58e9f563-4eef-4581-8be2-c5686f64b114/svn/ames-garden-hand-tools-2682700-31_1000.jpg","Product Weight (lb.) : 3.96,Garden Center Tool Type : Shovel,Returnable : 90-Day,Blade Material : Plastic,Handle Material : Wood,Coated Blades : Yes,Blade Width (in.) : 14.5,Handle Length (in.) : 27.5,Product Height (in.) : 46.5,Blade Length (in.) : 19 in,Product Depth (in.) : 9.5,Product Width (in.) : 14.5,Manufacturer Warranty : 15 year",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
100258384,1603400,18 in. Ergonomic Mountain Mover Snow Shovel,This True Temper 18 in. Ergonomic Mountain Mover Snow Shovel is ideal for shoveling or pushing snow. The blade shape features a flat front end for pushing snow and slush while the deep back end is shaped to scoop snow. The nylon wear strip extends the life of the blade and prevents the gouging of decks and other surfaces. It also features an ergonomic handle and an oversized D-grip that easily accommodates a gloved hand.,"Bullet02 : 37.4 in. ergonomic handle for more comfortable shoveling,Bullet04 : Nylon wear strip prolongs blade life and does not cause damage to deck, patio and other ground surfaces,MFG Brand Name : True Temper,Bullet03 : Oversized grip for gloved hand,Bullet01 : 18 in. combination blade is ideal for shoveling and pushing snow",33.73 / 33.73,"Product Highlight 3 : Blade shape is great for shoveling or pushing,Product Highlight 2 : Ergonomic handle with oversized grip is easy on your back,Product Highlight 1 : Nylon wear strip is gentle on your deck and other surfaces",4.3717,"https://images.homedepot-static.com/productImages/f433466f-6a39-4194-9e77-e47bae741cdf/svn/true-temper-snow-shovels-ice-scrapers-1603400-64_1000.jpg,https://images.homedepot-static.com/productImages/9b098509-ab89-4121-a5c2-e1ca752f169b/svn/true-temper-snow-shovels-ice-scrapers-1603400-c3_1000.jpg,https://images.homedepot-static.com/productImages/cc8de7d1-fbb0-40c2-902b-8ee22d15010f/svn/true-temper-snow-shovels-ice-scrapers-1603400-4f_1000.jpg,https://images.homedepot-static.com/productImages/32b95c05-9b06-4cec-96e2-f3d5417202d2/svn/true-temper-snow-shovels-ice-scrapers-1603400-31_1000.jpg","Returnable : 90-Day,Blade Material : Plastic,Product Weight (lb.) : 3,Handle Material : Metal,Garden Center Tool Type : Snow Shovel,Coated Blades : Yes,Blade Width (in.) : 18,Handle Length (in.) : 37.4,Blade Length (in.) : 14.5 in,Product Width (in.) : 18,Product Depth (in.) : 6,Product Height (in.) : 54.125,Manufacturer Warranty : none",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/47/4740c369-4236-4419-8677-d3fd4bbaf847.pdf
