Item #,Model #,Item Name,Description,Product Details,Price (New/Used),Highlights/Features,Average,Pictures,Specifications,Manual / Guides
205517496,rtl10400,Walking Crutches with Underarm Pad and Handgrip for Adult,"Lighter than wood, this walking crutch by Drive Medical provides stability and durability. Each crutch is manufactured with a double extruded center tube to ensure additional strength on weight-bearing areas. Extra thick (latex free) underarm pads and hand grips provide maximum comfort when in use. Tool free push-button adjustment allows the height of the underarm pad to be easily adjusted in 1 in. increments. Hand grips adjust separately without tools to ensure a proper fit.","Bullet06 : Push-pin adjustment makes it easy to adjust crutch height in 1 in. increments,MFG Brand Name : Drive,Bullet04 : Lighter than wood, the standard aluminum crutch provides stability and durability,Bullet03 : Easy wing nut adjustments for hand grips,Bullet01 : Comfortable, durable underarm pad and hand grip,Bullet05 : Non-skid, jumbo size vinyl contoured tips provide excellent traction,Bullet02 : Double extruded center tube provides additional strength to weight-bearing areas",31.59 / 31.59,"Product Highlight 2 : Features thick underarm pads and hand grips for comfort,Product Highlight 3 : Aluminum construction offers stability and durability,Product Highlight 1 : Double-extruded center tube adds strength on weight-bearing areas",4.6,"https://images.homedepot-static.com/productImages/a7f348c6-2f13-4c7b-a940-0f2f32fba01a/svn/drive-canes-rtl10400-64_1000.jpg,https://images.homedepot-static.com/productImages/18308a20-f6df-47d2-9392-18734eb856bf/svn/drive-canes-rtl10400-31_1000.jpg","Cane material : Aluminum,Cane Type : Single Foot,Returnable : 90-Day,Color Family : Gray,Foldable : Yes,Tip Type : Specialty,Mobility Product Type : Cane,Ergonomic Handle(s) : Yes,Rubber tip : Yes,Padded handle : Yes,Product Weight (lb.) : 3.15,Adjustable : Yes,Product Depth (in.) : 3.5,Product Width (in.) : 8.5,Product Thickness (in.) : 2,Maximum Height (In.) : 40,Tip size (in.) : 1,Product Height (in.) : 45.5,Minimum Height (in.) : 31,Manufacturer Warranty : Limited Lifetime",
205525200,10416-1,Pediatric Walking Crutches with Underarm Pad and Handgrip,"Lighter than wood, this walking crutch by Drive Medical provides stability and durability. Each crutch is manufactured with a double extruded center tube to ensure additional strength on weight-bearing areas. Extra thick (latex free) underarm pads and hand grips provide maximum comfort when in use. Tool free push-button adjustment allows the height of the underarm pad to be easily adjusted in 1 in. increments. Hand grips adjust separately without tools to ensure a proper fit.","Bullet04 : Non-skid, jumbo-size vinyl contoured tips provide excellent traction,MFG Brand Name : Drive,Bullet03 : Pushpin adjustment makes it easy to adjust crutch height in 1 in. increments,Bullet02 : Double extruded center tube provides additional strength to weight-bearing area,Bullet05 : Easy wing nut adjustments for hand grips,Bullet06 : Comfortable, durable accessories are latex free,Bullet01 : Lighter than wood, the standard aluminum crutch provides stability and durability",22.94 / 22.94,"Product Highlight 3 : Latex-free to prevent any allergic reactions,Product Highlight 2 : Non-skid rubber tips adhere to the surface for a firm grip,Product Highlight 1 : 4.5 lbs. lightweight aluminum frame for easy storage",5.0,"https://images.homedepot-static.com/productImages/38e8a29e-f9a2-4ff7-a04f-e9b951a6653f/svn/drive-canes-10416-1-64_1000.jpg,https://images.homedepot-static.com/productImages/996e262f-8309-4e3a-b0e8-8175e4700687/svn/drive-canes-10416-1-31_1000.jpg","Cane material : Aluminum,Cane Type : Single Foot,Returnable : 90-Day,Color Family : Gray,Foldable : Yes,Tip Type : Specialty,Mobility Product Type : Cane,Ergonomic Handle(s) : Yes,Rubber tip : Yes,Padded handle : Yes,Product Weight (lb.) : 4.5,Adjustable : Yes,Product Thickness (in.) : 2,Tip size (in.) : 1,Product Height (in.) : 8.5,Product Depth (in.) : 33,Maximum Height (In.) : 37,Minimum Height (in.) : 33,Product Width (in.) : 3.95,Manufacturer Warranty : Limited Lifetime",
204993832,MDS80534HW,Adult Aluminum Push Button Crutches,"These crutches have double extruded center tube provides load-bearing strength where it's needed the most. Foot piece utilizes durable rivets to secure the aluminum tubing from the inside, providing more stability than plastic connectors. I-beam center post limits Foot piece rotation to a 1.4 turn, always keeping the push-button in view and facilitating easy adjustment. Crutches come packaged completely accessorized with no assembly required.","Bullet02 : 300 lb. weight capacity,MFG Brand Name : Medline,Bullet01 : Aluminum construction for long life of product,Bullet04 : Non-skid rubber tips provide good traction,Bullet03 : Long, virtually unbreakable stair deflector helps protect against the crutch slipping on stairs and helps increase stress tolerance at all angles without cracking",31.49 / 31.49,,0.0,https://images.homedepot-static.com/productImages/7b187d9c-92cd-4bc3-99c4-5af7a3a9ed6a/svn/medline-walkers-mds80534hw-64_1000.jpg,"Front wheels : No,Returnable : 90-Day,Weight Capacity (lb.) : 350,Color Family : Metallic,User height range : 8,Padded Grip : Yes,Mobility Product Type : Standard Walker,Product Weight (lb.) : 4.50,Product Depth (in.) : 52.50,Handle height highest (in.) : 39,Folded width (in.) : 12,Handle height lowest (in.) : 32,Product Width (in.) : 8.80,Product Height (in.) : 3.50,Manufacturer Warranty : Limited Lifetime",
205517497,rtl10402,Walking Crutches with Underarm Pad and Handgrip for Tall Adult,"Lighter than wood, this walking crutch by Drive Medical provides stability and durability. Each crutch is manufactured with a double extruded center tube to ensure additional strength on weight-bearing areas. Extra thick (latex free) underarm pads and hand grips provide maximum comfort when in use. Tool free push-button adjustment allows the height of the underarm pad to be easily adjusted in 1 in. increments. Hand grips adjust separately without tools to ensure a proper fit.","Bullet06 : Push-pin adjustment makes it easy to adjust crutch height in 1 in. increments,MFG Brand Name : Drive,Bullet04 : Lighter than wood, the standard aluminum crutch provides stability and durability,Bullet03 : Easy wing nut adjustments for hand grips,Bullet01 : Comfortable, durable underarm pad and hand grip,Bullet05 : Non-skid, jumbo size vinyl contoured tips provide excellent traction,Bullet02 : Double extruded center tube provides additional strength to weight-bearing areas",25.08 / 25.08,,0.0,"https://images.homedepot-static.com/productImages/6e486b3a-7d7c-49d4-a6a4-ba8fbc4bc5d6/svn/drive-canes-rtl10402-64_1000.jpg,https://images.homedepot-static.com/productImages/37ea3caf-770b-4adf-ac65-a08313dbdf4d/svn/drive-canes-rtl10402-31_1000.jpg","Cane material : Aluminum,Cane Type : Single Foot,Returnable : 90-Day,Color Family : Gray,Foldable : Yes,Tip Type : Specialty,Mobility Product Type : Cane,Ergonomic Handle(s) : Yes,Product Weight (lb.) : 3.38,Rubber tip : Yes,Padded handle : Yes,Adjustable : Yes,Product Depth (in.) : 3.5,Product Height (in.) : 53.5,Product Width (in.) : 8.5,Product Thickness (in.) : 2,Tip size (in.) : 1,Maximum Height (In.) : 37,Minimum Height (in.) : 33,Manufacturer Warranty : Limited Lifetime",
308812694,721-780,"Lightweight Adjustable Aluminum Crutches, Tall Adult","Crutches by Hugo are lighter than wood and are manufactured from lightweight anodized aluminum, supporting up to 300 lbs. These tall adult size, adjustable crutches can accommodate a user height of 5.10 ft. to 6.6 ft. Hugo Crutches feature dual push-button adjustments, while approximate patient height settings are labeled on the center tube to within 1 in. increments. Contoured crutch tips that feature a curved stair deflector at their tip, provide exceptional traction while a built in metal ring protects against premature wear. Hugo Crutches feature thick cushioned underarm pads, designed with internal ribbing and reinforced ends that reduce pressure and underarm fatigue. Hugo's Lightweight Adjustable Aluminum Crutches have washable hand grips, made from a natural sponge cushioning that absorb impact shock and are perspiration resistant.","Bullet03 : Contoured crutch tips that feature a curved stair deflector at their tip, provide exceptional traction while a built in metal ring protects against premature wear,Bullet04 : Hugo Crutches feature thick cushioned underarm pads,Bullet01 : These crutches are lighter than wood and are manufactured from lightweight anodized aluminum, supporting up to 300 lbs.,Bullet02 : Hugo tall adult size, adjustable crutches can accommodate a user height of 5.10 ft. to 6.6 ft. and feature dual push-button adjustments,MFG Brand Name : Hugo Mobility,Bullet05 : Washable hand grips made from a natural sponge cushioning absorb impact shock and are perspiration resistant",22.15 / 22.15,,0.0,"https://images.homedepot-static.com/productImages/78d5e260-5b5f-4549-9bfb-e73299a45742/svn/hugo-mobility-canes-721-780-64_1000.jpg,https://images.homedepot-static.com/productImages/a356e157-a07b-40e4-a862-5a08f5f311d1/svn/hugo-mobility-canes-721-780-c3_1000.jpg","Cane material : Aluminum,Foldable : No,Cane Type : Single Foot,Returnable : 90-Day,Color Family : Silver,Product Weight (lb.) : 4.41,Tip Type : Specialty,Mobility Product Type : Cane,Ergonomic Handle(s) : Yes,Rubber tip : Yes,Padded handle : Yes,Adjustable : Yes,Maximum Height (In.) : 60,Minimum Height (in.) : 52,Product Thickness (in.) : .75,Tip size (in.) : 1,Product Width (in.) : 7.87,Product Depth (in.) : 7.87,Product Height (in.) : 60,Manufacturer Warranty : 1 Year Limited",
204993828,MDS805160,Adult Tall Aluminum Forearm Crutches,These forearm crutches are double extruded center tube provides load-bearing strength where it's needed the most. Telescoping parts are manufactured with internal bushings and external lock nuts to provide totally silent usage. Crutches come packaged completely accessorized with no assembly required.,"MFG Brand Name : Medline,Bullet01 : Vinyl-coated, tapered, and contoured arm cuffs,Bullet03 : Black components hide signs of wear and scratches,Bullet02 : Heavy-wall, high-strength aluminum tubing,Bullet04 : Non-skid rubber tips provide good traction",49.99 / 49.99,,4.5,https://images.homedepot-static.com/productImages/a9125546-5f02-4d1b-889c-d11a551a26c7/svn/medline-walkers-mds805160-64_1000.jpg,"Front wheels : No,Returnable : 90-Day,Weight Capacity (lb.) : 350,Product Weight (lb.) : 5.30,Color Family : Metallic,User height range : 8,Padded Grip : Yes,Mobility Product Type : Standard Walker,Handle height highest (in.) : 39,Folded width (in.) : 12,Product Height (in.) : 8.00,Handle height lowest (in.) : 32,Product Depth (in.) : 37.00,Product Width (in.) : 4.00,Manufacturer Warranty : Limited Lifetime",
205525199,10401-1,Youth Walking Crutches with Underarm Pad and Handgrip,"Lighter than wood, this walking crutch by Drive Medical provides stability and durability. Each crutch is manufactured with a double extruded center tube to ensure additional strength on weight-bearing areas. Extra thick (latex free) underarm pads and hand grips provide maximum comfort when in use. Tool free push-button adjustment allows the height of the underarm pad to be easily adjusted in 1 in. increments. Hand grips adjust separately without tools to ensure a proper fit.","Bullet06 : Push-pin adjustment makes it easy to adjust crutch height in 1 in. increments,MFG Brand Name : Drive,Bullet04 : Lighter than wood, the standard aluminum crutch provides stability and durability,Bullet03 : Easy wing nut adjustments for hand grips,Bullet01 : Comfortable, durable underarm pad and hand grip,Bullet05 : Non-skid, jumbo size vinyl contoured tips provide excellent traction,Bullet02 : Double extruded center tube provides additional strength to weight-bearing areas",22.3 / 22.3,,0.0,"https://images.homedepot-static.com/productImages/0f790748-b308-4577-b539-0e7316330b65/svn/drive-canes-10401-1-64_1000.jpg,https://images.homedepot-static.com/productImages/f0f1c11d-378f-45db-bd7c-fa47559c1967/svn/drive-canes-10401-1-31_1000.jpg","Cane material : Aluminum,Foldable : No,Cane Type : Single Foot,Returnable : 90-Day,Color Family : Gray,Tip Type : Specialty,Mobility Product Type : Cane,Ergonomic Handle(s) : Yes,Product Weight (lb.) : 4.05,Rubber tip : Yes,Padded handle : Yes,Adjustable : Yes,Product Thickness (in.) : 2,Minimum Height (in.) : 28,Product Height (in.) : 9.5,Tip size (in.) : 1,Product Depth (in.) : 38,Maximum Height (In.) : 38,Product Width (in.) : 4,Manufacturer Warranty : Limited Lifetime",
206385463,rtl10433,Knock Down Universal Aluminum Crutches (1-Pair),"The Drive Medical universal height adjustment allows both children and adults to use this product (individuals 4 ft. 6 in. to 6 ft. 6 in.). Crutch disassembles for convenient storage. Euro-style clips and push pin adjustments make it easy to adjust the hand grip. Lighter than wood, the aluminum crutch provides stability and durability and non-skid, jumbo-size vinyl contoured tips provide excellent traction.","Bullet06 : Comfortable, durable underarm pad and hand grip,Bullet03 : Universal adjustment for use by a child, adult or tall adult,Bullet02 : Non-skid, jumbo-size vinyl contoured tips provide excellent traction,MFG Brand Name : Drive,Bullet04 : Euro-style clips and pushpin adjustment make it easy to adjust height of hand grip,Bullet05 : Crutch disassembles for convenient storage,Bullet01 : Lighter than wood, the aluminum crutch provides stability and durability",25.93 / 25.93,,0.0,"https://images.homedepot-static.com/productImages/a3b55054-b101-46b2-a2c0-85b5a4e2e61a/svn/drive-canes-rtl10433-64_1000.jpg,https://images.homedepot-static.com/productImages/e94d59ba-140a-4c5d-b557-be3053e2058a/svn/drive-canes-rtl10433-c3_1000.jpg","Cane material : Aluminum,Foldable : No,Returnable : 90-Day,Color Family : Silver,Cane Type : Other,Tip Type : Specialty,Mobility Product Type : Cane,Ergonomic Handle(s) : Yes,Product Weight (lb.) : 4.43,Rubber tip : Yes,Padded handle : Yes,Adjustable : Yes,Product Depth (in.) : 21.26,Product Thickness (in.) : 0.75,Maximum Height (In.) : 8.27,Tip size (in.) : 1,Minimum Height (in.) : 8.27,Product Height (in.) : 8.27,Product Width (in.) : 3.94,Manufacturer Warranty : Limited Lifetime",Instructions / Assembly : https://images.homedepot-static.com/catalog/pdfImages/d3/d3eb471c-f6ad-45d0-afba-ebfeae970ba6.pdf
203437017,10403,Lightweight Walking Forearm Crutches,This forearm crutch by Drive Medical is packed with features. The vinyl coated and ergonomically contoured arm cuff is molded for comfort and stability. Both the leg and forearm sections adjust independently without tools to ensure optimal comfort and personal sizing. The extra-large tips provide added stability to the crutch.,"Bullet04 : Leg and forearm sections adjust independently for optimal sizing,Bullet02 : Extra-large tips for added stability,MFG Brand Name : Drive,Bullet05 : Vinyl-coated, ergonomically contoured arm cuffs molded for comfort and stability,Bullet01 : Vinyl hand grips are comfortable and durable,Bullet03 : Ortho K handle is hard plastic",47.07 / 47.07,"Product Highlight 1 : Vinyl hand grips are comfortable and wear-and-tear resistant,Product Highlight 3 : Leg and forearm sections adjust independently for optimal comfort,Product Highlight 2 : Extra-large tips for maximum stability",4.6,https://images.homedepot-static.com/productImages/91926014-eb3f-4684-8a2c-2e682fb75715/svn/drive-canes-10403-64_1000.jpg,"Cane material : Aluminum,Cane Type : Single Foot,Returnable : 90-Day,Foldable : Yes,Product Weight (lb.) : 4.41,Tip Type : Specialty,Mobility Product Type : Cane,Ergonomic Handle(s) : Yes,Rubber tip : Yes,Padded handle : Yes,Color Family : Chrome,Adjustable : Yes,Product Width (in.) : 4.8,Product Depth (in.) : 33.4,Product Thickness (in.) : 2,Minimum Height (in.) : 28,Product Height (in.) : 8,Tip size (in.) : 1,Maximum Height (In.) : 37,Manufacturer Warranty : Limited Lifetime",
205525201,10403hd,Lightweight Bariatric Walking Forearm Crutches,This forearm crutch by Drive Medical is packed with features. The vinyl coated and ergonomically contoured arm cuff is molded for comfort and stability. Both the leg and forearm sections adjust independently without tools to ensure optimal comfort and personal sizing. The extra-large tips provide added stability to the crutch.,"Bullet02 : Extra-large tips for added stability,MFG Brand Name : Drive,Bullet01 : Vinyl hand grips are comfortable and durable,Bullet04 : Vinyl-coated, ergonomically contoured arm cuffs molded for comfort and stability,Bullet03 : Leg and forearm sections adjust independently for optimal sizing",63.86 / 63.86,,4.0,https://images.homedepot-static.com/productImages/a1edbdb8-beba-4043-8dd3-3a5a6b50dcec/svn/drive-canes-10403hd-64_1000.jpg,"Cane material : Aluminum,Cane Type : Single Foot,Returnable : 90-Day,Foldable : Yes,Tip Type : Specialty,Product Weight (lb.) : 4.86,Mobility Product Type : Cane,Ergonomic Handle(s) : Yes,Rubber tip : Yes,Padded handle : Yes,Color Family : Chrome,Adjustable : Yes,Product Height (in.) : 4.5,Product Thickness (in.) : 2,Product Width (in.) : 8,Minimum Height (in.) : 28,Tip size (in.) : 1,Maximum Height (In.) : 37,Product Depth (in.) : 38.5,Manufacturer Warranty : Limited Lifetime",
