Description,Features,Image_urls,Images,Price,Product_Brand,Product_ID,Product_Model,Product_Name,Rating
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Browning Command Ops Pro 16MP Trail Camera</b> delivers big performance in a small package. The crisp 16MP picture resolution ensures the very best quality pictures of your game, day or night. With fast 0.5 second trigger speeds, you are sure to capture anything that steps out in front of your camera. The Command Ops Pro series also features 720p HD video with sound, to capture the best video of game on your property.<br><br><b>Features:</b><ul><li><b>Model:</b> 4P16</li><li><b>Size:</b> 16 Megapixels</li><li><b>Infrared Flash Range:</b> 70 ft.</li><li><b>Trigger Speed:</b> 0.5 Seconds</li><li><b>LED Illumination at Night:</b> Infrared</li><li>720p HD Videos with Sound (5 sec. - 2 min. length)</li><li>70 ft. Detection Range</li><li>Illuma-Smart Technology Automatically adjusts IR Flash for Perfect Night Photos</li><li>SD Card Management Feature</li><li>Long Battery Life from 6 AA Batteries (not included)</li><li>Up to 8 Multi Shot Images</li><li>Up to 4 Rapid Fire Images</li><li>Programmable Picture Delay (1 sec. - 60 min.)</li><li>Picture info bar displays: Time, Date, Temperature, Moon Phase, Camera ID</li><li>12 volt External Power Jack</li><li>Supports up to 32GB SD Card (not included)</li><li>1/4"" -20 Tripod Socket</li><li>Compact Case Size 4.5"" x 3.5"" x 2.5""</li><li>Timelapse Plus Camera Mode</li><li>Compatible with Browning Buck Watch Timelapse Viewer Software</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model:</b> 4P16</li><li><b>Size:</b> 16 Megapixels</li><li><b>Infrared Flash Range:</b> 70 ft.</li><li><b>Trigger Speed:</b> 0.5 Seconds</li><li><b>LED Illumination at Night:</b> Infrared</li><li>720p HD Videos with Sound (5 sec. - 2 min. length)</li><li>70 ft. Detection Range</li><li>Illuma-Smart Technology Automatically adjusts IR Flash for Perfect Night Photos</li><li>SD Card Management Feature</li><li>Long Battery Life from 6 AA Batteries (not included)</li><li>Up to 8 Multi Shot Images</li><li>Up to 4 Rapid Fire Images</li><li>Programmable Picture Delay (1 sec. - 60 min.)</li><li>Picture info bar displays: Time, Date, Temperature, Moon Phase, Camera ID</li><li>12 volt External Power Jack</li><li>Supports up to 32GB SD Card (not included)</li><li>1/4"" -20 Tripod Socket</li><li>Compact Case Size 4.5"" x 3.5"" x 2.5""</li><li>Timelapse Plus Camera Mode</li><li>Compatible with Browning Buck Watch Timelapse Viewer Software</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/443767/295475/BTC4P16__21234.1569621824.jpg?c=2&imbypass=on,,$119.99,MUDDY,443766,NA,MUDDY Pro-Cam 16 Trail Camera Bundle,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Cuddeback Cuddelink Back Flash Camera</b> is a great 20 megapixel scouting camera that will offer you success on your hunt. Blends in brilliantly with your surroundings and makes checking your cameras so much easier! The image collection camera is the HOME camera, and the transmitting cameras are the REMOTE cameras. Up to 15 Remote CuddeLink cameras can send images to 1 Home camera. These cameras can be deployed over hundreds or thousands of acres while still being transferred. The Cuddelink Back Flash Camera allows you to check your trail cameras more frequently without disturbing your hunt! <br><br>These Cameras Offer:<ul><li>20 megapixels</li><li>High end image sensor</li><li>Wide view PIR animal detector</li><li>Full feature user interface</li></ul><b>Features: </b><ul><li><b>Model: </b>NON11445</li><li><b>Quantity: </b>4</li><li><b>Battery: </b>12 AA batteries</li><li><b>Trigger Speed: </b>1/4 second</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>20 megapixels</li><li>High end image sensor</li><li>Wide view PIR animal detector</li><li>Full feature user interface</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/333475/72502/apia9s7w9__97507.1561048048.jpg?c=2&imbypass=on,,$749.99,J. Dewey,335999,NA,"J. Dewey 3/4"" Square Patches for .17-.20 Caliber 250/Bag",NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Cuddeback 20 MegaPixel IR</b> is designed to be ready for the next picture within 1 second of taking the first. It is Cuddeback's premier trail camera and takes 20 MP color images when shot in daylight and black and white images when shot at night.<br><br><b>Features:</b><ul><li><b>Model:</b> H-1453
        <!-- snippet location product_description -->
    </li></ul></div>","<ul><li><b>Model:</b> H-1453
        <!-- snippet location product_description -->
    </li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446435/299916/NONH1453__99155.1573512079.jpg?c=2&imbypass=on,,$129.99,Cuddeback,326806,NA,Cuddeback Cuddelink Black Flash J Series Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Covert AT&amp;T Network Ready Code Black 12.1 Scouting Camera</b> offers a number of features to make scouting easy. Features include adjustable camera sensitivity, customizable trigger intervals and start-stop times. In cases where you feel the camera is not catching animals that are nearby or it's triggering too early you can adjust the sensitivity. In most conditions, the N option for 10°F to 80°F works best. However there are H(&gt;80°F) and L(&lt;10°F) settings for different outdoor temperatures. Customize how often the camera can be allowed to take a photo by adjusting the trigger interval. Options are 5-60 seconds (5 second increments) and 1-60 minutes.<br><br>The Code Black 12.1 Scouting Camera offers:<ul><li>Start-Stop time in a 24hr format</li><li>Time lapse option</li><li>Adjustable trigger interval</li><li>Adjustable sensitivity</li></ul><b>Features:</b><ul><li><b>Model:</b> 5311</li><li><b>Picture Resolution:</b> 12 MP</li><li><b>Display Screen:</b> 2"" LCD</li><li><b>Memory Card:</b> Up to 32GB</li><li><b>Photo Burst:</b> 1-10</li><li><b>Video Length:</b> 1-60s</li><li><b>Field of View:</b> 52°</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Start-Stop time in a 24hr format</li><li>Time lapse option</li><li>Adjustable trigger interval</li><li>Adjustable sensitivity</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446653/300133/COV5311__68072.1574193573.jpg?c=2&imbypass=on,,$399.99,Stealth Cam,322105,NA,Stealth Cam Infrared Scouting Camera Bundle,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Browning Strike Force HD Pro X Trail Camera</b> offers an upgraded feature set including a 1.5� color view screen and an all-steel adjustable mounting bracket for easy installation in the field. The powerful IR illumination allows you to customize your night images with 3 modes of operation; Power Save, Long Range and Fast Motion settings to get the perfect night picture. <br><br>The Strike Force HD Pro X Trail Camera offers:<ul><li>80 ft detect range</li><li>Up to 8 multi shot images</li><li>Up to 8 rapid fire images</li><li>Programmable picture delay (1 sec - 60 min.)</li><li>Picture Info: Time, Date, Temp, Moon Phase, Camera ID</li><li>Timelapse Plus camera mode with IR triggered images</li><li>Support up to 512GB SDXC memory card</li></ul><b>Features:</b><ul><li><b>Model:</b> BTC-5HDPX</li><li><b>Screen:</b> 1.5""</li><li><b>Megapixels:</b> 20</li><li><b>Recovery Time:</b> 0.6 Seconds</li><li><b>Flash Range:</b> 120 ft</li><li><b>Trigger Speed:</b> 0.22</li><li><b>Videos With Sound:</b> 1600 x 900 HD+</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>80 ft detect range</li><li>Up to 8 multi shot images</li><li>Up to 8 rapid fire images</li><li>Programmable picture delay (1 sec - 60 min.)</li><li>Picture Info: Time, Date, Temp, Moon Phase, Camera ID</li><li>Timelapse Plus camera mode with IR triggered images</li><li>Support up to 512GB SDXC memory card</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446418/299899/BTC5FHDPX__52259.1573251128.jpg?c=2&imbypass=on,,$169.99,Browning,443767,NA,Browning Command Ops Pro 16MP Trail Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Browning Strike Force Gen 5 Trail Camera</b> was built on an updated platform to offer incredible 22 MP pictures and Full HD 1080p videos to give you the very best in surveillance. It features  an adjustable IR Flash for night photography that can be set to Economy mode for short range shots, Long Range mode for fields or open terrain and Fast Motion mode for animals traveling at high speeds.<br><br>The Strike Force Gen 5 Trail Camera offers:<ul><li>Adjustable detect range up to 80 ft</li><li>Up to 8 multi shot images</li><li>Up to 8 rapid fire images</li><li>Programmable picture delay (1 sec - 60 min.)</li><li>Picture Info: Time, Date, Temp, Moon Phase, Camera ID</li><li>Timelapse Plus camera mode with IR triggered images</li><li>Support up to 512GB SDXC memory card</li></ul><b>Features:</b><ul><li><b>Model:</b> BTC-5FHD5</li><li><b>Megapixels:</b> 22</li><li><b>Recovery Time:</b> 0.6 Seconds</li><li><b>Flash Range:</b> Infrared: 120 ft</li><li><b>Trigger Speed:</b> 0.22-0.7 Seconds</li><li><b>Videos With Sound:</b> 1080p FHD 5 sec. - 2 min.</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>Adjustable detect range up to 80 ft</li><li>Up to 8 multi shot images</li><li>Up to 8 rapid fire images</li><li>Programmable picture delay (1 sec - 60 min.)</li><li>Picture Info: Time, Date, Temp, Moon Phase, Camera ID</li><li>Timelapse Plus camera mode with IR triggered images</li><li>Support up to 512GB SDXC memory card</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446420/299902/BTC5FHD5__13846.1573251132.jpg?c=2&imbypass=on,,$189.99,Browning,443767,NA,Browning Command Ops Pro 16MP Trail Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Browning Strike Force APEX Trail Camera</b> features an incredible 0.22 second trigger speed and 0.6 second recovery time between pictures. It has an adjustable IR flash range at night to optimize battery life and produce the highest quality night images. Experience high end performance with 18 MP picture quality, and a new video processor that produces incredible quality 1600 x 900 HD+ video clips with sound.<br><br>The Strike Force APEX Trail Camera offers:<ul><li>80 ft detect range</li><li>Up to 8 multi shot images</li><li>Up to 8 rapid fire images</li><li>Programmable picture delay (1 sec - 60 min.)</li><li>Picture Info: Time, Date, Temp, Moon Phase, Camera ID</li><li>Timelapse Plus camera mode with IR triggered images</li><li>Support up to 512GB SDXC memory card</li></ul><b>Features:</b><ul><li><b>Model:</b> BTC-5HD-APX</li><li><b>Megapixels:</b> 18</li><li><b>Recovery Time:</b> 0.6 Seconds</li><li><b>Flash Range:</b> Infrared: 100 ft</li><li><b>Trigger Speed:</b> 0.22</li><li><b>Videos With Sound:</b> 1600 x 900 HD+</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>80 ft detect range</li><li>Up to 8 multi shot images</li><li>Up to 8 rapid fire images</li><li>Programmable picture delay (1 sec - 60 min.)</li><li>Picture Info: Time, Date, Temp, Moon Phase, Camera ID</li><li>Timelapse Plus camera mode with IR triggered images</li><li>Support up to 512GB SDXC memory card</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446416/299896/BTC5HDAPX__96306.1573251125.jpg?c=2&imbypass=on,,$149.99,Browning,443767,NA,Browning Command Ops Pro 16MP Trail Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Tactacam 2.0 Action Camera</b> is designed for you using the best electronics available. It uses a unique lens design  that provides a view similar to what we see with the human eye, making it the best hunting camera on the market.<br><br>The Tactacam 2.0 Action Camera Package features: <ul><li> Universal Mount/Camera Universal Mount</li><li> Bow Stabilizer Mount</li><li> USB Cable with Charging Wall Adapter</li><li> Tripod/Adhesive Pads</li><li> Waterproof End Cap</li><li> Audio End Cap</li><li> Two 3M Adhesive Pads</li></ul><b>Features:</b><ul><li><b>Model:</b> TA-FB-FB</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li> Universal Mount/Camera Universal Mount</li><li> Bow Stabilizer Mount</li><li> USB Cable with Charging Wall Adapter</li><li> Tripod/Adhesive Pads</li><li> Waterproof End Cap</li><li> Audio End Cap</li><li> Two 3M Adhesive Pads</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446456/299933/TATTAFBFB__49621.1573512116.jpg?c=2&imbypass=on,,$149.99,Tactacam,446464,NA,Tactacam 5.0 Bow Mount,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Moultrie XV7000i Verizon Cellular Trail Camera</b> has all the quality and reliability of Moultrie game cameras but now with the added technology to deliver game-camera images from the field directly to your smartphone, tablet and computer. The XV7000i operates on the Verizon 4G cellular network. The XV7000i is loaded with advanced features, such as 20-megapixel images, iNVISIBLE flash, 80-foot detection and flash range, ILLUMNI-NIGHT 2 sensor for the brightest and most clear night images, blazing .3 second trigger speed, and records 1080p video.<br><br><b>Features:</b><ul><li><b>Model:</b> MCG-13309</li><li><b>Finish:</b> Moultrie White Bark Camo</li><li>Instantly receive game-camera images to your smartphone, tablet and computer</li><li>Camera operates on Verizon 4G Network</li><li>20 MP images</li><li>Invisible flash</li><li>Access your images anytime/anywhere on free Moultrie Mobile app or website</li><li>No contract required and no activation/cancelation fees</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model:</b> MCG-13309</li><li><b>Finish:</b> Moultrie White Bark Camo</li><li>Instantly receive game-camera images to your smartphone, tablet and computer</li><li>Camera operates on Verizon 4G Network</li><li>20 MP images</li><li>Invisible flash</li><li>Access your images anytime/anywhere on free Moultrie Mobile app or website</li><li>No contract required and no activation/cancelation fees</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/443768/295478/MOUMCG13309__16143.1569621896.jpg?c=2&imbypass=on,,$179.99,Stealth Cam,446465,NA,Stealth Cam WXV-Verizon Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam Infrared Scouting Camera Bundle</b> comes with an 8GB SD memory card, 12 AA batteries, and mounting strap for easy installation.  Ideal for game scouting, home security, and wildlife viewing.  This 12 megapixel camera has an 80 foot range as well as HD 720 video recording with audio.  The intuitive backlit menu with quick set is easy to use and program.  Images contain time, date, moon phase, temperature, and name stamp.  Now includes Range Control which allows you to adjust the camera's passive infrared sensor to trigger for short and long range distance situations.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-G26FXNGK</li><li><b>Resolution:</b> 12 Megapixels</li><li><b>Range:</b> 80 ft.</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-G26FXNGK</li><li><b>Resolution:</b> 12 Megapixels</li><li><b>Range:</b> 80 ft.</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/322105/76870/apicsbijc__23194.1561058463.jpg?c=2&imbypass=on,,$99.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
