Description,Features,Image_urls,Images,Price,Product_Brand,Product_ID,Product_Model,Product_Name,Rating
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Work Sharp Ken Onion Edition Knife &amp; Tool Sharpener</b> will sharpen every knife you own, quickly, and easily. Work Sharp teamed up with renowned knife maker Ken Onion to deliver the ultimate sharpening solution for your home or workshop. Work Sharp teamed up with renowned knife maker Ken Onion to deliver the ultimate sharpening solution for your home or workshop.<br><br>The Ken Onion Edition Knife &amp; Tool Sharpener offers:<ul><li>An adjustable sharpening guide to produce precise edge bevels from 15° to 30°</li><li>Premium flexible abrasive belts to deliver a strong, long lasting razor-sharp edge</li><li>A variable speed motor to handle every sharpening task, from grinding to honing</li></ul><b>Features:</b><ul><li><b>Model:</b> WSKTS-SO</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>An adjustable sharpening guide to produce precise edge bevels from 15° to 30°</li><li>Premium flexible abrasive belts to deliver a strong, long lasting razor-sharp edge</li><li>A variable speed motor to handle every sharpening task, from grinding to honing</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/336308/73722/api1xesvr__48612.1561049307.jpg?c=2&imbypass=on,,$149.99,Work Sharp,328709,NA,Work Sharp Assorted Belt Kit - Ken Onion Edition,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Work Sharp Guided Sharpening System</b> is a complete sharpening solution for every knife you own. It features the innovative Pivot-Response System which allows the abrasive to follow the curve of the blade, making manual sharpening faster, easier and more precise than ever. Sharpens curved blades, straight blades, serrations, tools, hooks, and fine points.<br><br>The Guided Sharpening System offers:<ul><li>1.25"" x 6"" coarse (320 grit) and fine (600 grit) Diamond Sharpening Plates</li><li>17° and 20° Angle Guides</li><li>Coarse and Fine Ceramic Hone with built-in Angle Guides</li><li>3 sizes of ceramic rods to sharpen serrations</li><li>Pivot-Response technology</li><li>Removable diamond plate holder for sharpening tools</li></ul><b>Features:</b><ul><li><b>Model:</b> WSGSS</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>1.25"" x 6"" coarse (320 grit) and fine (600 grit) Diamond Sharpening Plates</li><li>17° and 20° Angle Guides</li><li>Coarse and Fine Ceramic Hone with built-in Angle Guides</li><li>3 sizes of ceramic rods to sharpen serrations</li><li>Pivot-Response technology</li><li>Removable diamond plate holder for sharpening tools</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/335915/73563/apizjjzvn__93519.1561049182.jpg?c=2&imbypass=on,,$59.99,Work Sharp,335921,NA,Work Sharp&reg; Guided Field Sharpener 221,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Combo Knife Sharpener</b> was created for those who want a fast, easy-to-use machine that sharpens every type of knife you own. The Combo Knife Sharpener combines Work Sharp's power sharpening technology (flexible abrasive belts) with our manual sharpening technology (angle-guided ceramic honing). This combination of technologies and features create a fast, easy, and very effective sharpening system for every knife owner.<br><br>Flexible Belt Technology creates a superior convex cutting edge on your knife. This type of edge is the choice of professionals and knife makers for its ability to cut better and stay sharp longer than flat ground edges. The Combo Sharpener uses a 0.5"" x 10"" premium 3M abrasive belt - engineered for cool sharpening and long life. The abrasive is designed and intended for metal grinding applications and will sharpen any type of blade steel without overheating your blade. The sharpener uses precise 25 degree angle guides for both sharpening and honing. The innovative Tapered Ceramic Rod will hone every knife you own to a razor-sharp edge, and will sharpen most any size serration. You can now successfully sharpen all of your serrated knives with a single, easy to use tool.<br><br><b>Features</b><ul><li><b>Model:</b> WSCMB</li><li><b>Motor:</b> 120V Single Speed</li><li><b>Power Switch:</b> On/Off</li><li><b>Duty Cycle:</b> Light Duty</li><li><b>Abrasives Included:</b> (2) P120 belts by 3M, Fine grit tapered ceramic rod</li><li><b>Abrasive Size:</b> 0.5"" x 10""</li><li><b>Sharpening Guides:</b> Fixed 25 degree sharpening and honing</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model:</b> WSCMB</li><li><b>Motor:</b> 120V Single Speed</li><li><b>Power Switch:</b> On/Off</li><li><b>Duty Cycle:</b> Light Duty</li><li><b>Abrasives Included:</b> (2) P120 belts by 3M, Fine grit tapered ceramic rod</li><li><b>Abrasive Size:</b> 0.5"" x 10""</li><li><b>Sharpening Guides:</b> Fixed 25 degree sharpening and honing</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/335938/73586/api8edcrv__72663.1561049197.jpg?c=2&imbypass=on,,$59.99,Work Sharp,335921,NA,Work Sharp&reg; Guided Field Sharpener 221,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Work Sharp Assorted Belt Kit - Ken Onion Edition</b> are for use with the Ken Onion Sharpening Cassette (WSKTS-KO). Includes 1 of each belt; P120 Extra Course Grit (3/4"" x 12""), X65 Coarse Grit (P220 equivalent, 3/4"" x 12""), X22 Medium Grit (P1000 equivalent, 3/4"" x 12""), X4 Fine Grit (P3000 equivalent, 3/4"" x 12""), and 6000 Extra Fine Grit (1/2"" x 12"").<br><br><b>Features:</b><ul><li><b>Model:</b> WSSAKO81113</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> WSSAKO81113</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/328709/84655/apily8xa8__26447.1561064250.jpg?c=2&imbypass=on,,$17.99,Work Sharp,335938,NA,Work Sharp Combo Knife Sharpener,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Smith's Edge Pro Pull-Thru Knife Sharpener</b> is Designed for the Sports Enthusiast who demands the highest quality sharpening tools and abrasives.<br><br>This sharpener offers two stages of sharpening for all types of knives, everything from everyday pocket knives to the finest customer sport knives.<br><br>The precision ground carbides remove metal in a smoother, more consistent fashion when setting the edge on very dull straight edge blades, and the specially shaped ceramic stones can be used to lightly hone either STRAIGHT or SERRATED edge blades.<br><br>It has an ergonomically designed soft grip handle and non-slip rubber feet for comfort and safety.<b>Features:</b><ul><li><b>Model</b>: 50090</li><li>soft grip handle</li><li>2 stage sharpening, coarse &amp; fine</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model</b>: 50090</li><li>soft grip handle</li><li>2 stage sharpening, coarse &amp; fine</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/382899/125847/api8wgxek__84680.1562794311.jpg?c=2&imbypass=on,,$14.99,Smith's,383002,NA,Smith&rsquo;s Diamond Retractable Sharpener,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The sharpening wheels on your <b>Smith's Edge Pro Electric/Manual Knife Sharpener</b> are made from bonded synthetics. The synthetics used are selected for their ability to guarantee longer wheel life, uniform cutting, and minimum heat build up, so that de-tempering of your blade does not occur.<br><br>Smith's wheels are manufactured according to strict tolerances in order to ensure the same high quality on each and every wheel made.<br><br>The crossed ceramic rods put the final finished edge on your blade. Crossed ceramic rods create a pre-set sharpening angle that lightly hones both sides of your blade at the same time; thus, putting a polished, razor-sharp edge on your knife. Also, use the crossed ceramic rods for a quick touch-up of already sharp knives. Just a few, quick pulls through the sharpening slot is all it takes. Smith's recommends always using the ceramic rods for final edge honing after you sharpen using the synthetic wheels. Again, just a few pulls through the sharpening slot is all it takes.<b>Features:</b><ul><li><b>Model:</b> 50005</li><li>Pre-set Sharpening Angles</li><li>Sharpens Both Sides of the Blade</li><li>Ceramic Rods for Final Edge Honing</li><li>Soft-Grip Rubber Handle</li><li>Non-Slip Rubber Feet</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> 50005</li><li>Pre-set Sharpening Angles</li><li>Sharpens Both Sides of the Blade</li><li>Ceramic Rods for Final Edge Honing</li><li>Soft-Grip Rubber Handle</li><li>Non-Slip Rubber Feet</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/382921/125900/apiyzauy6__69740.1562794376.jpg?c=2&imbypass=on,,$29.99,Smith's,383002,NA,Smith&rsquo;s Diamond Retractable Sharpener,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Smith's 4"" Diamond Combination Bench Stone</b> features coarse and fine grit sharpening surfaces. These surfaces contain multiple layers of micron-sized monocrystalline diamonds and a unique sharpening surface with an overlapping oval hole design. This innovation speeds sharpening by collecting and holding the metal filings which ordinarily build up during the sharpening process.<br><br>Each stone has a ""micro-tool sharpening pad"" and a sharpening groove for fish hooks or pointed tools.<br><br>The soft grip rubber handle is designed to make sharpening safe and easy, and when you are finished sharpening, you can store your stones in the handle for safekeeping.<b>Features:</b><ul><li><b>Model</b>: DCS4</li><li><b>Size:</b> 4"" x 1""</li><li><b>Grit:</b> Coarse 325 / Fine 750</li><li>Thumb guard for safety</li><li>Grooved for fish hooks and pointed tools</li><li>Soft grip rubber handle for comfort</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model</b>: DCS4</li><li><b>Size:</b> 4"" x 1""</li><li><b>Grit:</b> Coarse 325 / Fine 750</li><li>Thumb guard for safety</li><li>Grooved for fish hooks and pointed tools</li><li>Soft grip rubber handle for comfort</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/383005/126045/apigzvl1s__37029.1562794592.jpg?c=2&imbypass=on,,$28.99,Smith's,383002,NA,Smith&rsquo;s Diamond Retractable Sharpener,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Lansky Mini Dog Bone Knife Sharpener</b> alumina ceramic rod is a super compact pocket sharpener, and perfect for quick sharpening of knives.  A convenient key chain is attached to colorful, patented finger guards.<br><br>Model:  LCDOG
        <!-- snippet location product_description -->
    </div>",NA,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/329897/111507/apipo4ogw__37393.1562015776.jpg?c=2&imbypass=on,,$3.99,Lansky,334093,NA,Lansky Cold Steel Knife Sharpener,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Lansky Medium Serrated Hone</b> is the ultimate serrations accessory for your Lansky Sharpening System.  This <b>600 grit Ceramic Serrated Hone</b> allows you to repair and sharpen damaged serrations.<br><br><b>Features</b><ul><li>Medium Grit (600) Ceramic Hone</li><li>Brass threaded insert for stainless steel thumb screw</li><li>Ergonomic plastic housing</li><li>Made in the USA!</li><li>Model:  LSMRT</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Medium Grit (600) Ceramic Hone</li><li>Brass threaded insert for stainless steel thumb screw</li><li>Ergonomic plastic housing</li><li>Made in the USA!</li><li>Model:  LSMRT</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/334155/111356/apih4wasc__65432.1562015393.jpg?c=2&imbypass=on,,$8.99,Smith's,383005,NA,Smith&rsquo;s 4&quot; Diamond Combination Sharpener,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Lansky Cold Steel Knife Sharpener</b> is a handy pocket-size sharpener specially designed for the proprietary serrations used on Cold Steel brand folding and fixed blade knives.  The special grooves exactly match the mini serrations.  Safety thumb rests and keychain keep the sharpener always ready to serve at home or in the field.<br><br>Model:  LTRCS
        <!-- snippet location product_description -->
    </div>",NA,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/334093/111639/apiibj4eh__89037.1562016040.jpg?c=2&imbypass=on,,$5.99,Lansky,329897,NA,Lansky Mini Dog Bone Knife Sharpener,NA
