product_name,product_price,product_image,search_text
4' Coat Rack W Wheels,$23.50,https://partyperfect.com/itemimages/1273t.jpg,CROWD_CONTROL_RENTALS
6' Red Velour Rope,$5.00,https://partyperfect.com/itemimages/1283t.jpg,CROWD_CONTROL_RENTALS
6' Signature Event Fencing,$20.50,https://partyperfect.com/itemimages/1291t.jpg,CROWD_CONTROL_RENTALS
"65"" Coat Rack Large W Wheels",$26.00,https://partyperfect.com/itemimages/1272t.jpg,CROWD_CONTROL_RENTALS
8' Red Velour Rope,$7.00,https://partyperfect.com/itemimages/1282t.jpg,CROWD_CONTROL_RENTALS
Chrome Porta Post,$11.50,https://partyperfect.com/itemimages/1279t.jpg,CROWD_CONTROL_RENTALS
Large White Plastic Chain per ft.,$0.20,https://partyperfect.com/itemimages/1284t.jpg,CROWD_CONTROL_RENTALS
Plastic Coat Hanger,$0.35,https://partyperfect.com/nan,CROWD_CONTROL_RENTALS
Small White Plastic Chain,$0.20,https://partyperfect.com/itemimages/8617t.jpg,CROWD_CONTROL_RENTALS
White Plastic Porta Post,$3.00,https://partyperfect.com/itemimages/1280t.jpg,CROWD_CONTROL_RENTALS
