product_name,product_price,product_image,search_text
25' Red Carpet,$51.00,https://partyperfect.com/itemimages/3373t.jpg,EVENT_DECOR_RENTALS
"32"" Capital Top Column",$9.00,https://partyperfect.com/itemimages/1407t.jpg,EVENT_DECOR_RENTALS
"40"" White Plastic Column",$12.00,https://partyperfect.com/itemimages/1426t.jpg,EVENT_DECOR_RENTALS
"42"" White Plastic Column",$10.00,https://partyperfect.com/itemimages/1406t.jpg,EVENT_DECOR_RENTALS
5' Wrought Iron Stand,$23.00,https://partyperfect.com/itemimages/1417t.jpg,EVENT_DECOR_RENTALS
50' Red Carpet,$79.50,https://partyperfect.com/itemimages/3374t.jpg,EVENT_DECOR_RENTALS
"54"" White Capital Top Column",$12.00,https://partyperfect.com/itemimages/1409t.jpg,EVENT_DECOR_RENTALS
5'X7' White Lattice Chuppah,$102.00,https://partyperfect.com/itemimages/1447t.jpg,EVENT_DECOR_RENTALS
7' Wrought Iron Stand,$28.00,https://partyperfect.com/itemimages/1418t.jpg,EVENT_DECOR_RENTALS
"72"" Capital Top Column",$10.00,https://partyperfect.com/itemimages/8942t.jpg,EVENT_DECOR_RENTALS
Black Pipe &amp; Drape,$46.50,https://partyperfect.com/itemimages/3403t.jpg,EVENT_DECOR_RENTALS
Black Shepherds Hook,$9.00,https://partyperfect.com/itemimages/1437t.jpg,EVENT_DECOR_RENTALS
Carolina Arch Vinyl,$95.00,https://partyperfect.com/itemimages/9044t.jpg,EVENT_DECOR_RENTALS
Rosewood Arbor,$80.00,https://partyperfect.com/itemimages/9045t.jpg,EVENT_DECOR_RENTALS
Sky Puppet,$125.00,https://partyperfect.com/itemimages/1459t.jpg,EVENT_DECOR_RENTALS
White Folding Screen,$20.50,https://partyperfect.com/itemimages/1281t.jpg,EVENT_DECOR_RENTALS
White Plastic Balustrade,$20.00,https://partyperfect.com/itemimages/1423t.jpg,EVENT_DECOR_RENTALS
White Wooden Arch,$85.00,https://partyperfect.com/itemimages/3317t.jpg,EVENT_DECOR_RENTALS
Wine Barrels for wine barrel bar,$40.00,https://partyperfect.com/itemimages/8188t.jpg,EVENT_DECOR_RENTALS
Wine Barrels latest style,$40.00,https://partyperfect.com/itemimages/9423t.jpg,EVENT_DECOR_RENTALS
Wrought Iron Arch,$79.00,https://partyperfect.com/itemimages/1419t.jpg,EVENT_DECOR_RENTALS
