product_name,product_price,product_image,product_image_1,product_image_2,search_text
Acrylic Lectern,$75.00 ,https://partyperfect.com/itemimages/8927t.jpg,https://partyperfectcom/itemimages/8927-1.jpg,https://partyperfectcom/itemimages/8927-2.jpg,AUDIO VISUAL RENTALS
Bubble Machine,$39.70 ,https://partyperfect.com/itemimages/3409t.jpg,https://partyperfectcom/itemimages/3409-1.jpg,https://partyperfectcom/itemimages/3409-2.jpg,AUDIO VISUAL RENTALS
Bullhorn,$22.70 ,https://partyperfect.com/itemimages/3371t.jpg,https://partyperfectcom/itemimages/3371-1.jpg,https://partyperfectcom/itemimages/3372-,AUDIO VISUAL RENTALS
Fog Machine,$51.00 ,https://partyperfect.com/itemimages/3408t.jpg,https://partyperfectcom/itemimages/3408-1.jpg,https://partyperfectcom/itemimages/3408-2.jpg,AUDIO VISUAL RENTALS
Follow Spotlight,$62.30 ,https://partyperfect.com/itemimages/3343t.jpg,https://partyperfectcom/itemimages/3343-1.jpg,https://partyperfectcom/itemimages/3343-2.jpg,AUDIO VISUAL RENTALS
Lapel Mic,$17.00 ,https://partyperfect.com/itemimages/3353t.jpg,https://partyperfectcom/itemimages/3353-1.jpg,https://partyperfectcom/itemimages/3353-2.jpg,AUDIO VISUAL RENTALS
LCD Projector,$50.00 ,https://partyperfect.com/itemimages/3372t.jpg,https://partyperfectcom/itemimages/3372-1.jpg,https://partyperfectcom/itemimages/3372-2.jpg,AUDIO VISUAL RENTALS
Mp3 PA System,$150.00 ,https://partyperfect.com/itemimages/1269t.jpg,https://partyperfectcom/itemimages/1269-1.jpg,https://partyperfectcom/itemimages/2269-,AUDIO VISUAL RENTALS
Wireless Microphone,$22.70 ,https://partyperfect.com/itemimages/1270t.jpg,https://partyperfectcom/itemimages/1270-1.jpg,https://partyperfectcom/itemimages/2270-,AUDIO VISUAL RENTALS
Acrylic Bar,$283.00 ,https://partyperfect.com/itemimages/7967t.jpg,https://partyperfectcom/itemimages/7967-1.jpg,https://partyperfectcom/itemimages/7967-2.jpg,BAR_RENTALS
Bar Top Package, ,https://partyperfect.com/itemimages/9165t.jpg,https://partyperfectcom/itemimages/9165-1.jpg,https://partyperfectcom/itemimages/9265-,BAR_RENTALS
Collapsible Bar,$90.50 ,https://partyperfect.com/itemimages/1621t.jpg,https://partyperfectcom/itemimages/1621-1.jpg,https://partyperfectcom/itemimages/262,BAR_RENTALS
Wine Barrel Bar,$136.50 ,https://partyperfect.com/itemimages/8309t.jpg,https://partyperfectcom/itemimages/8309-1.jpg,https://partyperfectcom/itemimages/8309-2.jpg,BAR_RENTALS
1 Gallon Push Button Coffee Server,$26.52 ,https://partyperfect.com/itemimages/3433t.jpg,https://partyperfectcom/itemimages/3433-1.jpg,https://partyperfectcom/itemimages/3433-2.jpg,BEVERAGE_SERVICE_RENTALS
10 Gallon Liquid Carrier,$17.34 ,https://partyperfect.com/itemimages/1107t.jpg,https://partyperfectcom/itemimages/1107-1.jpg,https://partyperfectcom/itemimages/2,BEVERAGE_SERVICE_RENTALS
100 Cup Silver Hammered Coffee Server,$36.72 ,https://partyperfect.com/itemimages/8647t.jpg,https://partyperfectcom/itemimages/8647-1.jpg,https://partyperfectcom/itemimages/8647-2.jpg,BEVERAGE_SERVICE_RENTALS
