,product_name,product_price,product_image,product_image_1,product_image_2,search_text
0,Acrylic Lectern,$75.00 ,https://partyperfect.com/itemimages/8927t.jpg,https://partyperfect.com/itemimages/8927-1.jpg,https://partyperfect.com/itemimages/8927-1.jpg,AUDIO VISUAL RENTALS
1,Bubble Machine,$39.70 ,https://partyperfect.com/itemimages/3409t.jpg,https://partyperfect.com/itemimages/3409-1.jpg,https://partyperfect.com/itemimages/3409-1.jpg,AUDIO VISUAL RENTALS
2,Bullhorn,$22.70 ,https://partyperfect.com/itemimages/3371t.jpg,https://partyperfect.com/itemimages/3371-1.jpg,https://partyperfect.com/itemimages/3371-1.jpg,AUDIO VISUAL RENTALS
3,Fog Machine,$51.00 ,https://partyperfect.com/itemimages/3408t.jpg,https://partyperfect.com/itemimages/3408-1.jpg,https://partyperfect.com/itemimages/3408-1.jpg,AUDIO VISUAL RENTALS
4,Follow Spotlight,$62.30 ,https://partyperfect.com/itemimages/3343t.jpg,https://partyperfect.com/itemimages/3343-1.jpg,https://partyperfect.com/itemimages/3343-1.jpg,AUDIO VISUAL RENTALS
5,Lapel Mic,$17.00 ,https://partyperfect.com/itemimages/3353t.jpg,https://partyperfect.com/itemimages/3353-1.jpg,https://partyperfect.com/itemimages/3353-1.jpg,AUDIO VISUAL RENTALS
6,LCD Projector,$50.00 ,https://partyperfect.com/itemimages/3372t.jpg,https://partyperfect.com/itemimages/3372-1.jpg,https://partyperfect.com/itemimages/3372-1.jpg,AUDIO VISUAL RENTALS
7,Mp3 PA System,$150.00 ,https://partyperfect.com/itemimages/1269t.jpg,https://partyperfect.com/itemimages/1269-1.jpg,https://partyperfect.com/itemimages/1269-1.jpg,AUDIO VISUAL RENTALS
8,Wireless Microphone,$22.70 ,https://partyperfect.com/itemimages/1270t.jpg,https://partyperfect.com/itemimages/1270-1.jpg,https://partyperfect.com/itemimages/1270-1.jpg,AUDIO VISUAL RENTALS
9,Acrylic Bar,$283.00 ,https://partyperfect.com/itemimages/7967t.jpg,https://partyperfect.com/itemimages/7967-1.jpg,https://partyperfect.com/itemimages/7967-1.jpg,BAR_RENTALS
10,Bar Top Package, ,https://partyperfect.com/itemimages/9165t.jpg,https://partyperfect.com/itemimages/9165-1.jpg,https://partyperfect.com/itemimages/9165-1.jpg,BAR_RENTALS
11,Collapsible Bar,$90.50 ,https://partyperfect.com/itemimages/1621t.jpg,https://partyperfect.com/itemimages/1621-1.jpg,https://partyperfect.com/itemimages/1621-1.jpg,BAR_RENTALS
12,Wine Barrel Bar,$136.50 ,https://partyperfect.com/itemimages/8309t.jpg,https://partyperfect.com/itemimages/8309-1.jpg,https://partyperfect.com/itemimages/8309-1.jpg,BAR_RENTALS
13,1 Gallon Push Button Coffee Server,$26.52 ,https://partyperfect.com/itemimages/3433t.jpg,https://partyperfect.com/itemimages/3433-1.jpg,https://partyperfect.com/itemimages/3433-1.jpg,BEVERAGE_SERVICE_RENTALS
14,10 Gallon Liquid Carrier,$17.34 ,https://partyperfect.com/itemimages/1107t.jpg,https://partyperfect.com/itemimages/1107-1.jpg,https://partyperfect.com/itemimages/1107-1.jpg,BEVERAGE_SERVICE_RENTALS
15,100 Cup Silver Hammered Coffee Server,$36.72 ,https://partyperfect.com/itemimages/8647t.jpg,https://partyperfect.com/itemimages/8647-1.jpg,https://partyperfect.com/itemimages/8647-1.jpg,BEVERAGE_SERVICE_RENTALS
16,100 Cup Stainless Westco Coffee Urn,$26.52 ,https://partyperfect.com/itemimages/8261t.jpg,https://partyperfect.com/itemimages/8261-1.jpg,https://partyperfect.com/itemimages/8261-1.jpg,BEVERAGE_SERVICE_RENTALS
17,"12"" Silver Round Punch Ladle",$3.06 ,https://partyperfect.com/itemimages/8786t.jpg,https://partyperfect.com/itemimages/8786-1.jpg,https://partyperfect.com/itemimages/8786-1.jpg,BEVERAGE_SERVICE_RENTALS
18,150 Qt. White Ice Chest,$26.52 ,https://partyperfect.com/itemimages/8244t.jpg,https://partyperfect.com/itemimages/8244-1.jpg,https://partyperfect.com/itemimages/8244-1.jpg,BEVERAGE_SERVICE_RENTALS
